time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
1365.0,3.98232559090371,3.98232559090371,3.98232559090371,3.98232559090371,False,False,False,7.69e-05,0.44704788292058595,3.8947134009898354,33.49529133129073,chen2020_dfn
1370.0,3.9825662789104843,3.9825662789104843,3.9825662789104843,3.9825662789104843,False,False,False,7.900000000000001e-05,0.44815415133139436,3.895775282543762,33.4951986003789,chen2020_dfn
1375.0,3.9828021727224163,3.9828021727224163,3.9828021727224163,3.9828021727224163,False,False,False,7.450000000000001e-05,0.4492604852682617,3.8968353584518827,33.49510719913644,chen2020_dfn
1380.0,3.983033038576726,3.983033038576726,3.983033038576726,3.983033038576726,False,False,False,7.500000000000001e-05,0.450366883334533,3.8978936439163294,33.49501736661483,chen2020_dfn
1385.0,3.9832585783160517,3.9832585783160517,3.9832585783160517,3.9832585783160517,False,False,False,7.66e-05,0.4514733440507319,3.8989501559910025,33.49492934723247,chen2020_dfn
1390.0,3.98347842689351,3.98347842689351,3.98347842689351,3.98347842689351,False,False,False,7.450000000000001e-05,0.4525798658359801,3.9000049127704517,33.49484339007341,chen2020_dfn
1395.0,3.9836921501221294,3.9836921501221294,3.9836921501221294,3.9836921501221294,False,False,False,7.6e-05,0.4536864469887918,3.9010579324949903,33.49475974810724,chen2020_dfn
1400.0,3.983899243200728,3.983899243200728,3.983899243200728,3.983899243200728,False,False,False,7.460000000000001e-05,0.4547930856674587,3.902109232595224,33.494678677336026,chen2020_dfn
1405.0,3.984099129575307,3.984099129575307,3.984099129575307,3.984099129575307,False,False,False,7.560000000000001e-05,0.45589977987011854,3.903158828688758,33.49460043585134,chen2020_dfn
1410.0,3.9842911608430076,3.9842911608430076,3.9842911608430076,3.9842911608430076,False,False,False,7.94e-05,0.4570065274147971,3.9042067335652946,33.49452528280693,chen2020_dfn
1415.0,3.9844746172300445,3.9844746172300445,3.9844746172300445,3.9844746172300445,False,False,False,7.460000000000001e-05,0.4581133259195832,3.9052529561776206,33.49445347729505,chen2020_dfn
