scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller,controller_declared_complete,completion_success,physical_safe,teacher_feasible,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,optimization_count,optimizer_success_fraction,fallback_count,mean_solve_time_ms,maximum_solve_time_ms,required_optimizer_success_fraction,maximum_allowed_fallback_count,voltage_limit_exceeded,temperature_limit_exceeded,current_limit_exceeded,current_change_limit_exceeded,active_voltage_constraint_count,active_voltage_constraint_fraction,active_temperature_constraint_count,active_temperature_constraint_fraction,active_current_upper_constraint_count,active_current_upper_constraint_fraction,active_current_change_constraint_count,active_current_change_constraint_fraction,infeasibility_reasons
lhs_008,latin_hypercube,0.2850743526569496,25.247844139764343,1.013193552500972,0.9681719505898942,1.1514130570941534,1.0253018806427876,0.8900724529133812,0.9226733971656388,0.0010984207459157,-0.4967800521857332,0.0025964444747773,-0.0001355713399718,1.0,nominal_mpc,True,True,True,True,35.5,0.795604142018705,-0.004395857981295,4.1406268583856765,33.95018024864489,10.0,2.000000000000004,90,1.0,0,564.7712011109332,1690.3070999978809,0.95,0,False,False,False,False,34,0.3777777777777777,63,0.7,2,0.0222222222222222,5,0.0555555555555555,none
lhs_008,latin_hypercube,0.2850743526569496,25.247844139764343,1.013193552500972,0.9681719505898942,1.1514130570941534,1.0253018806427876,0.8900724529133812,0.9226733971656388,0.0010984207459157,-0.4967800521857332,0.0025964444747773,-0.0001355713399718,1.0,oracle_mpc,True,True,False,False,35.5,0.7957307707608989,-0.0042692292391011,4.143813010505504,34.11698638700764,10.0,5.150027697009056,110,0.9181818181818182,9,1249.8354627271924,7750.807000003988,0.95,0,False,False,False,True,45,0.4090909090909091,81,0.7363636363636363,2,0.0181818181818181,30,0.2727272727272727,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_009,latin_hypercube,0.2954608700331405,17.09773326519801,0.9344603649945196,0.8656171584085884,1.1686722467239663,0.9799287498108844,0.9553231346037476,0.9829224197694418,0.0046314053571494,0.3312648500799798,0.002448548021341,-0.0024527968539761,1.0,nominal_mpc,True,True,False,False,26.5,0.7966981491549524,-0.0033018508450476,4.1305488803544215,32.9633977175311,10.0,5.9573754961699965,71,0.9859154929577464,1,539.3370112676205,2124.6122000011383,0.95,0,False,False,False,True,55,0.7746478873239436,29,0.4084507042253521,8,0.1126760563380281,9,0.1267605633802817,current_change_violation;mpc_fallback
lhs_009,latin_hypercube,0.2954608700331405,17.09773326519801,0.9344603649945196,0.8656171584085884,1.1686722467239663,0.9799287498108844,0.9553231346037476,0.9829224197694418,0.0046314053571494,0.3312648500799798,0.002448548021341,-0.0024527968539761,1.0,oracle_mpc,True,True,False,False,24.75,0.7937268259290141,-0.0062731740709859,4.142241604000389,33.124581066146355,10.0,6.5688215928379785,70,0.9714285714285714,2,880.2737914285639,4089.052100003755,0.95,0,False,False,False,True,51,0.7285714285714285,27,0.3857142857142857,11,0.1571428571428571,13,0.1857142857142857,current_change_violation;mpc_fallback
lhs_010,latin_hypercube,0.1917080401700475,28.89290919230868,0.9235432616970743,0.8168596193054966,0.906537285223686,0.96677413374094,1.0220594621147512,0.9096934353432284,0.0041672134288331,-0.4315320858710706,0.0045065944428158,0.0047851286725165,1.0,nominal_mpc,True,True,False,False,48.583333333333336,0.7967893477085733,-0.0032106522914266,4.119883951455758,34.05854950577713,7.433938180827812,4.0114074972332965,134,0.9029850746268656,13,1006.37179552294,6982.750600000145,0.95,0,False,False,False,True,29,0.2164179104477611,118,0.8805970149253731,0,0.0,21,0.1567164179104477,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_010,latin_hypercube,0.1917080401700475,28.89290919230868,0.9235432616970743,0.8168596193054966,0.906537285223686,0.96677413374094,1.0220594621147512,0.9096934353432284,0.0041672134288331,-0.4315320858710706,0.0045065944428158,0.0047851286725165,1.0,oracle_mpc,True,True,False,False,50.583333333333336,0.7964257405295734,-0.0035742594704266,4.132412794456371,34.216536578063234,8.263115185775838,4.222832494922552,154,0.8181818181818182,28,1504.1396402595708,7828.82210000389,0.95,0,False,False,False,True,27,0.1753246753246753,138,0.8961038961038961,0,0.0,40,0.2597402597402597,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_011,latin_hypercube,0.1881504997616224,15.11203657233658,1.008881518529197,1.0047831617971454,0.9861601215768409,0.8562946388374155,1.0973840513925543,1.0548405031154722,-0.002163984699174,-0.3992962625745801,-0.0009167094393001,0.0024561766672019,1.0,nominal_mpc,True,True,False,False,37.25,0.8009057367116266,0.0009057367116265,4.143437549139993,34.34591668609154,10.0,6.428733818413644,120,0.9,12,1124.891192499308,7653.901999998197,0.95,0,False,False,False,True,60,0.5,71,0.5916666666666667,8,0.0666666666666666,38,0.3166666666666666,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_011,latin_hypercube,0.1881504997616224,15.11203657233658,1.008881518529197,1.0047831617971454,0.9861601215768409,0.8562946388374155,1.0973840513925543,1.0548405031154722,-0.002163984699174,-0.3992962625745801,-0.0009167094393001,0.0024561766672019,1.0,oracle_mpc,True,True,False,False,37.0,0.8021809526207095,0.0021809526207094,4.142761062947439,34.17584906864791,10.0,5.872791793661644,110,0.9363636363636364,7,1121.187699999758,7630.818199999339,0.95,0,False,False,False,True,51,0.4636363636363636,69,0.6272727272727273,6,0.0545454545454545,26,0.2363636363636363,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_012,latin_hypercube,0.2196424683029835,20.94254808338244,0.942525151998616,0.8765169112056466,0.9221522396613288,0.9535143752691166,0.9098969634644448,0.9332169507086998,0.0008863313198978,0.4247612321814347,0.0005459740865835,0.0029298805200118,1.0,nominal_mpc,True,True,True,True,33.25,0.805283395128696,0.0052833951286959,4.129235773309816,33.17934053404936,10.0,2.000000000000001,84,1.0,0,633.6615619043836,2713.721399995848,0.95,0,False,False,False,False,39,0.4642857142857143,49,0.5833333333333334,4,0.0476190476190476,5,0.0595238095238095,none
lhs_012,latin_hypercube,0.2196424683029835,20.94254808338244,0.942525151998616,0.8765169112056466,0.9221522396613288,0.9535143752691166,0.9098969634644448,0.9332169507086998,0.0008863313198978,0.4247612321814347,0.0005459740865835,0.0029298805200118,1.0,oracle_mpc,True,True,False,False,33.5,0.8051384035026588,0.0051384035026587,4.138582849559684,33.5324568292089,10.0,6.296239678925689,106,0.9339622641509434,7,1151.5165009432335,6801.652599999215,0.95,0,False,False,False,True,51,0.4811320754716981,68,0.6415094339622641,6,0.0566037735849056,32,0.3018867924528302,current_change_violation;optimizer_success_fraction;mpc_fallback
