time_s,charge_current_a,latent_delta_output,soc,terminal_voltage_v,average_temperature_c,dnn_inference_time_s,source
1055.0,3.833986449644963,-0.0021354148373877724,0.38593687890964423,3.830964249583069,33.858970685386225,4.72e-05,chen2020_dfn_structured_delta_dnn
1060.0,3.829773720695612,-0.0021063675898362333,0.38700070494317074,3.831803851132729,33.853426092863174,5.520000000000001e-05,chen2020_dfn_structured_delta_dnn
1065.0,3.82562248088731,-0.002075622884885775,0.38806337785452827,3.8326449680466164,33.84779761769039,4.6500000000000005e-05,chen2020_dfn_structured_delta_dnn
1070.0,3.821536174934887,-0.00204315581924841,0.389124915680899,3.833487734729055,33.842087872389925,4.86e-05,chen2020_dfn_structured_delta_dnn
1075.0,3.817518297731238,-0.0020089413044121485,0.39018533743026873,3.8343322870138663,33.83629952215159,5.3e-05,chen2020_dfn_structured_delta_dnn
1080.0,3.813572395062577,-0.0019729538942651614,0.39124466309556394,3.83517876222257,33.83043528555771,4.85e-05,chen2020_dfn_structured_delta_dnn
1085.0,3.809702064701726,-0.001935167596074705,0.3923029136690921,3.836027299234827,33.82449793533726,5.64e-05,chen2020_dfn_structured_delta_dnn
1090.0,3.805910957912851,-0.0018955556647608507,0.3933601111574012,3.836878038569405,33.81849029916145,5.7100000000000006e-05,chen2020_dfn_structured_delta_dnn
1095.0,3.802202781401373,-0.0018540903803082598,0.3944162785966794,3.837731122480773,33.81241526048916,5.7e-05,chen2020_dfn_structured_delta_dnn
1100.0,3.7985812997429833,-0.0018107428082070887,0.3954714400688303,3.838586695068452,33.80627575947426,5.7400000000000006e-05,chen2020_dfn_structured_delta_dnn
1105.0,3.7950503383261314,-0.0017654825427180776,0.3965256207183653,3.839444902403558,33.80007479394686,5.5700000000000005e-05,chen2020_dfn_structured_delta_dnn
1110.0,3.7916137868429276,-0.0017182774326582329,0.3975788467702661,3.8403058926719074,33.79381542047997,5.2100000000000006e-05,chen2020_dfn_structured_delta_dnn
1115.0,3.7882756033642315,-0.001669093289306589,0.3986311455489784,3.841169816336398,33.7875007555557,4.9600000000000006e-05,chen2020_dfn_structured_delta_dnn
1120.0,3.7850398190359735,-0.0016178935757826807,0.39968254549871063,3.8420368263194664,33.78113397684575,7.570000000000001e-05,chen2020_dfn_structured_delta_dnn
1125.0,3.7819105434353046,-0.001564639077128449,0.4007330762052205,3.842907078207724,33.77471832461919,4.64e-05,chen2020_dfn_structured_delta_dnn
1130.0,3.778891970627624,-0.0015092875498659009,0.40178276841928373,3.8437807304780405,33.768257103295696,4.94e-05,chen2020_dfn_structured_delta_dnn
1135.0,3.775988385968267,-0.0014517933496610569,0.4028316540820527,3.844657944752188,33.76175368316018,4.7900000000000006e-05,chen2020_dfn_structured_delta_dnn
1140.0,3.7732041736967266,-0.0013921070350531028,0.403879766352524,3.8455388860756337,33.75521150225603,4.5600000000000004e-05,chen2020_dfn_structured_delta_dnn
1145.0,3.7705438253761123,-0.0013301749448283995,0.4049271396373506,3.8464243257729778,33.74863539399166,4.91e-05,chen2020_dfn_structured_delta_dnn
1150.0,3.7680118149668864,-0.0012660058809849106,0.4059738095859525,3.8473136738382956,33.74202774467858,4.6700000000000003e-05,chen2020_dfn_structured_delta_dnn
1155.0,3.7656129723592584,-0.001199421878981588,0.4070198131893856,3.848207161490366,33.73539218407495,4.74e-05,chen2020_dfn_structured_delta_dnn
1160.0,3.7633521719728353,-0.0011304006746888362,0.40806518879271136,3.849104999001404,33.72873242501953,4.63e-05,chen2020_dfn_structured_delta_dnn
1165.0,3.761234434879504,-0.0010588689424014253,0.4091099761357335,3.8500073913154536,33.72205226422392,4.7600000000000005e-05,chen2020_dfn_structured_delta_dnn
1170.0,3.759264946917043,-0.0009847442995395417,0.41015421639876604,3.8509145435051693,33.71535558481395,4.75e-05,chen2020_dfn_structured_delta_dnn
1175.0,3.7574490738518738,-0.000907936782070129,0.4111979522526138,3.851826663592533,33.708646359599925,4.77e-05,chen2020_dfn_structured_delta_dnn
1180.0,3.7557923778744464,-0.0008283481781735658,0.41224122791313444,3.8527439643449295,33.701928654881726,5.27e-05,chen2020_dfn_structured_delta_dnn
1185.0,3.7543006357969695,-0.0007458711770536586,0.4132840892008558,3.853666664618525,33.69520663475606,5.56e-05,chen2020_dfn_structured_delta_dnn
1190.0,3.752979859157573,-0.0006603884156996531,0.41432658360617747,3.8545949904965466,33.688484565943156,5.36e-05,chen2020_dfn_structured_delta_dnn
1195.0,3.751836316468296,-0.0005717714069468638,0.415368760360752,3.8555291765177246,33.68176682397666,7.61e-05,chen2020_dfn_structured_delta_dnn
1200.0,3.7508765577133154,-0.0004798794143265339,0.4164106705156724,3.8564694670304203,33.675057901383525,5.380000000000001e-05,chen2020_dfn_structured_delta_dnn
1205.0,3.7501074412326294,-0.00038455825929983867,0.41745236702712585,3.857416115836162,33.66836240757783,6e-05,chen2020_dfn_structured_delta_dnn
1210.0,3.7495361659029594,-0.00028563767260336714,0.4184939048509877,3.858369388431517,33.66168507987396,5.8200000000000005e-05,chen2020_dfn_structured_delta_dnn
1215.0,3.7491703048889913,-0.0001829305090245703,0.41953534104679024,3.859329563217006,33.655030791667684,6.110000000000001e-05,chen2020_dfn_structured_delta_dnn
1220.0,3.74901784442508,-7.6230232103347e-05,0.42057673489246394,3.8602969328585734,33.648404561520124,5.22e-05,chen2020_dfn_structured_delta_dnn
