initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
paper_ic_115,hammersley,0.18371323529411765,0.016171875,0.08148148148148147,27.9568,6.180758017492711,True,True,True,Optimization terminated successfully,5.83776627687908,2.1907539999992878,-1.85757187409763e-10
paper_ic_116,hammersley,0.18443802521008404,0.061171875,0.004814814814814814,29.6368,7.609329446064139,True,True,True,Optimization terminated successfully,5.904751057240104,1.226109200000792,-5.845635087098344e-10
paper_ic_117,hammersley,0.18516281512605043,0.038671875,0.03481481481481481,31.3168,9.037900874635568,True,True,True,Optimization terminated successfully,6.18450147231054,0.870219200001884,-2.5652440172052593e-09
paper_ic_118,hammersley,0.18588760504201682,0.08367187499999999,0.06481481481481481,32.9968,0.6705539358600583,True,True,True,Optimization terminated successfully,6.529149556203128,1.3630430000011984,-1.1496247509512614e-08
paper_ic_119,hammersley,0.1866123949579832,0.010546874999999999,0.014814814814814814,26.6128,2.099125364431487,True,True,True,Optimization terminated successfully,5.543803269306381,1.0895916000008583,-6.129710072855232e-10
paper_ic_120,hammersley,0.18733718487394957,0.055546874999999996,0.04481481481481481,28.2928,3.527696793002915,True,True,True,Optimization terminated successfully,5.751394607480385,0.9775534000000334,-1.2175860319985077e-10
paper_ic_121,hammersley,0.188061974789916,0.033046874999999996,0.0748148148148148,29.9728,4.956268221574343,True,True,True,Optimization terminated successfully,5.9964739424128535,1.2834507000006852,-2.4653701302668196e-10
paper_ic_122,hammersley,0.18878676470588235,0.078046875,0.02481481481481481,31.6528,6.384839650145771,True,True,True,Optimization terminated successfully,6.147879389586808,1.15336329999991,-3.323962971535366e-08
paper_ic_123,hammersley,0.18951155462184877,0.021796875,0.054814814814814816,33.3328,7.813411078717199,False,False,False,Positive directional derivative for linesearch,6.053084967261888,2.644213800002035,-1.7071199615204478
paper_ic_124,hammersley,0.19023634453781513,0.06679687499999999,0.0848148148148148,25.01344,9.241982507288629,True,True,True,Optimization terminated successfully,5.39200430483154,0.8815078000006906,-8.724683198124694e-10
paper_ic_125,hammersley,0.19096113445378154,0.044296875,0.008148148148148147,26.69344,0.8746355685131195,True,True,True,Optimization terminated successfully,5.490184383989813,1.0945140000003448,-2.8389877115841955e-09
paper_ic_126,hammersley,0.1916859243697479,0.089296875,0.038148148148148146,28.37344,2.3032069970845477,True,True,True,Optimization terminated successfully,5.675423966081383,0.9505044000034104,-4.560867239433719e-09
paper_ic_127,hammersley,0.1924107142857143,0.0003515625,0.06814814814814814,30.053440000000002,3.731778425655976,True,True,True,Optimization terminated successfully,5.895505837990942,0.8304676000007021,-5.831140015288838e-10
paper_ic_128,hammersley,0.19313550420168069,0.0453515625,0.018148148148148146,31.73344,5.160349854227405,True,True,True,Optimization terminated successfully,6.0432314542469365,0.9315591999984463,-6.316369649539411e-10
paper_ic_129,hammersley,0.19386029411764705,0.0228515625,0.048148148148148134,25.34944,6.588921282798833,True,True,True,Optimization terminated successfully,5.277148915608542,0.6159267000002728,-2.785469632726745e-10
paper_ic_130,hammersley,0.19458508403361346,0.0678515625,0.07814814814814813,27.02944,8.017492711370261,True,True,True,Optimization terminated successfully,5.505496763190326,0.6660412999990513,-2.9821478619851405e-11
paper_ic_131,hammersley,0.19530987394957985,0.011601562499999999,0.028148148148148144,28.70944,9.44606413994169,True,True,True,Optimization terminated successfully,5.583571076166874,0.40882500000225264,-2.7367903498998203e-09
paper_ic_132,hammersley,0.19603466386554624,0.0566015625,0.05814814814814814,30.38944,1.0787172011661808,True,True,True,Optimization terminated successfully,5.880375053447839,0.9319811999994272,-3.019877681254002e-10
paper_ic_133,hammersley,0.1967594537815126,0.0341015625,0.08814814814814813,32.06944,2.507288629737609,True,True,True,Optimization terminated successfully,6.146392624524616,0.8135251999992761,-8.583966604192028e-08
paper_ic_134,hammersley,0.19748424369747902,0.0791015625,0.002592592592592592,25.68544,3.9358600583090375,True,True,True,Optimization terminated successfully,5.185311610518029,0.9484740999978385,-2.2039259306438908e-09
