controller,seed,trajectory_id,threshold_v,entered,first_entry_step,first_entry_time_s,first_entry_soc,first_entry_current_a,voltage_safe_current_max_a,braking_steps_required,steps_until_first_4p20_violation,maximum_slew_braking_in_time,voltage_slew_conflict_at_entry
ann_projection,101,level3_closed_01,4.15,True,34,175.0,0.5804992361222644,7.499110483247778,9.111884591548005,0,58,True,False
ann_projection,101,level3_closed_01,4.18,True,64,325.0,0.636543643989212,6.0838247861981145,6.4448393132624915,0,28,True,False
ann_projection,101,level3_closed_01,4.19,True,77,390.0,0.65761296126836,5.634120726480244,5.595438307791483,1,15,True,False
ann_projection,101,level3_closed_01,4.2,True,92,465.0,0.6801014478823132,5.201371005404592,4.744385622034315,1,0,False,False
ann_projection,101,level3_closed_02,4.15,True,19,100.0,0.6572306836800834,5.8752995374923325,7.508944026485551,0,42,True,False
ann_projection,101,level3_closed_02,4.18,True,38,195.0,0.686248693621302,5.195947423654324,5.544851477607153,0,23,True,False
ann_projection,101,level3_closed_02,4.19,True,47,240.0,0.6988737517933072,4.9374071498474,4.89578838692978,1,14,True,False
ann_projection,101,level3_closed_02,4.2,True,61,310.0,0.7173123986677964,4.577470398716182,4.106841403190629,1,0,False,False
ann_projection,101,level3_closed_03,4.15,True,33,170.0,0.6252356315505654,6.41982867953316,8.013905693078414,0,45,True,False
ann_projection,101,level3_closed_03,4.18,True,56,285.0,0.6631757647627547,5.5506080749171085,5.90465620138275,0,22,True,False
ann_projection,101,level3_closed_03,4.19,True,66,335.0,0.6781360633149571,5.256140732580573,5.197451565982192,1,12,True,False
ann_projection,101,level3_closed_03,4.2,True,78,395.0,0.69507913535814,4.941646606886636,4.48649915480928,1,0,False,False
ann_projection,101,level3_closed_04,4.15,True,8,45.0,0.6981746471806578,5.574119131679428,7.081167309443117,0,32,True,False
ann_projection,101,level3_closed_04,4.18,True,18,95.0,0.7128441649832234,5.062081856380173,5.407027738765464,0,22,True,False
ann_projection,101,level3_closed_04,4.19,True,26,135.0,0.7236731233597092,4.734352022224724,4.654774605151033,1,14,True,False
ann_projection,101,level3_closed_04,4.2,True,40,205.0,0.7410783384546098,4.26875944349862,3.8019756265566684,1,0,False,False
ann_projection,101,level3_closed_05,4.15,True,38,195.0,0.5552738220406481,8.016840275746135,9.57699308928568,0,65,True,False
ann_projection,101,level3_closed_05,4.18,True,68,345.0,0.615488241272958,6.536203013624309,6.90048323260271,0,35,True,False
ann_projection,101,level3_closed_05,4.19,True,85,430.0,0.6446497594225815,5.879541074053771,5.821254527836572,1,18,True,False
ann_projection,101,level3_closed_05,4.2,True,103,520.0,0.6725484663216023,5.330292577379574,4.8670076704001985,1,0,False,False
ann_projection,101,level3_closed_06,4.15,True,24,125.0,0.6324487658976595,6.44349033011852,8.06795055308612,0,44,True,False
ann_projection,101,level3_closed_06,4.18,True,45,230.0,0.667125298921048,5.554077367551155,5.93278669504798,0,23,True,False
ann_projection,101,level3_closed_06,4.19,True,55,280.0,0.6820592083500298,5.23761928846892,5.193646024999907,1,13,True,False
ann_projection,101,level3_closed_06,4.2,True,68,345.0,0.700264981147847,4.88110615906426,4.414342744130408,1,0,False,False
ann_projection,101,level3_closed_07,4.15,True,35,180.0,0.6002864492981457,6.995677263702526,8.581549615119002,0,52,True,False
ann_projection,101,level3_closed_07,4.18,True,62,315.0,0.6479650138780264,5.839257147367822,6.2077535086427815,0,25,True,False
