profile_name,variant,temperature_c,initial_soc,c_rate,holdout_soc,horizon_s,voltage_rmse_mv,voltage_maximum_absolute_error_mv,temperature_rmse_c,temperature_maximum_absolute_error_c,true_voltage_feasible,predicted_voltage_feasible,voltage_classification,true_temperature_feasible,predicted_temperature_feasible,temperature_classification
t15_soc0.75_c1,fixed_2rc_dual,15.0,0.75,1.0,True,25.0,38.19800725560111,40.69815821697187,0.1251594464151291,0.20274459031990233,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c1,fixed_2rc_dual,15.0,0.75,1.0,True,300.0,30.332280753455446,47.830549446348236,0.9280703594314268,1.3572658469754764,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c1,related_2rc_dual,15.0,0.75,1.0,True,5.0,31.598373351432777,34.137528142339946,0.014860024180118947,0.021015247732716347,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c1,related_2rc_dual,15.0,0.75,1.0,True,25.0,28.003862447267192,34.137528142339946,0.031098012175769664,0.03881574983487468,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c1,related_2rc_dual,15.0,0.75,1.0,True,300.0,25.27898023447276,74.9698276375108,0.6665869224658686,1.352671456524142,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c1,related_2rc_single,15.0,0.75,1.0,True,5.0,31.598373351432777,34.137528142339946,0.015248236672573018,0.021564263104627557,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c1,related_2rc_single,15.0,0.75,1.0,True,25.0,28.003862447267192,34.137528142339946,0.03296389935111684,0.041423465556743366,True,True,true_feasible,True,True,true_feasible
t15_soc0.75_c1,related_2rc_single,15.0,0.75,1.0,True,300.0,25.27898023447276,74.9698276375108,0.6509633068380855,1.3310480047724838,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,fixed_2rc_dual,15.0,0.75,2.0,True,5.0,3.0979786159350633,4.349638178739568,0.06703585697783021,0.09480301810335057,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,fixed_2rc_dual,15.0,0.75,2.0,True,25.0,6.451205945743295,8.561015762309943,0.24841833418031725,0.3951980350901536,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,fixed_2rc_dual,15.0,0.75,2.0,True,300.0,51.82146504468725,122.05696198289485,1.4093085603960829,2.0340176586044905,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,related_2rc_dual,15.0,0.75,2.0,True,5.0,10.208911377807537,14.107623803424119,0.00034779592131924824,0.0004918577088677267,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,related_2rc_dual,15.0,0.75,2.0,True,25.0,18.482396828906648,22.2068356558216,0.1380669838850112,0.26658752819211173,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,related_2rc_dual,15.0,0.75,2.0,True,300.0,52.799558893516014,92.782005758548,4.900750499451732,8.805731555394033,False,False,true_infeasible,True,False,false_conservative
t15_soc0.75_c2,related_2rc_single,15.0,0.75,2.0,True,5.0,10.208911377807537,14.107623803424119,0.00190064589113302,0.0026879191965090143,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,related_2rc_single,15.0,0.75,2.0,True,25.0,18.482396828906648,22.2068356558216,0.13039534082863977,0.2531954631463904,False,False,true_infeasible,True,True,true_feasible
t15_soc0.75_c2,related_2rc_single,15.0,0.75,2.0,True,300.0,52.799558893516014,92.782005758548,4.83427987392012,8.7192377483874,False,False,true_infeasible,True,False,false_conservative
t15_soc0.80_c0.5,fixed_2rc_dual,15.0,0.8,0.5,False,5.0,40.51577368954862,41.077089635146,0.012312947581512131,0.017413137462563455,True,True,true_feasible,True,True,true_feasible
t15_soc0.80_c0.5,fixed_2rc_dual,15.0,0.8,0.5,False,25.0,41.435504217784434,42.23948867586902,0.050184137888497966,0.08185723548151635,True,True,true_feasible,True,True,true_feasible
t15_soc0.80_c0.5,fixed_2rc_dual,15.0,0.8,0.5,False,300.0,34.69991453554494,42.9775347575827,0.43446128695777586,0.6726024984014671,False,True,false_safe,True,True,true_feasible
t15_soc0.80_c0.5,related_2rc_dual,15.0,0.8,0.5,False,5.0,34.70661224983459,36.191848249957914,0.007668253088956293,0.01084454751811137,True,True,true_feasible,True,True,true_feasible
t15_soc0.80_c0.5,related_2rc_dual,15.0,0.8,0.5,False,25.0,35.18506910901224,36.748652035421436,0.025393122750520417,0.03972869891309472,True,True,true_feasible,True,True,true_feasible
t15_soc0.80_c0.5,related_2rc_dual,15.0,0.8,0.5,False,300.0,22.713477770073595,47.09862453935898,0.061047361419953095,0.09303294818366226,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c0.5,related_2rc_single,15.0,0.8,0.5,False,5.0,34.70661224983459,36.191848249957914,0.007769353879458224,0.01098752562720584,True,True,true_feasible,True,True,true_feasible
t15_soc0.80_c0.5,related_2rc_single,15.0,0.8,0.5,False,25.0,35.18506910901224,36.748652035421436,0.02589089448971494,0.040571174065743065,True,True,true_feasible,True,True,true_feasible
t15_soc0.80_c0.5,related_2rc_single,15.0,0.8,0.5,False,300.0,22.713477770073595,47.09862453935898,0.062302007044233394,0.09002785725444262,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c1,fixed_2rc_dual,15.0,0.8,1.0,False,5.0,40.479821675802654,41.46107216147499,0.03254694923236285,0.04602833701827613,False,True,false_safe,True,True,true_feasible
t15_soc0.80_c1,fixed_2rc_dual,15.0,0.8,1.0,False,25.0,41.038695141745144,41.73004435165151,0.12962126569619203,0.21016304358520443,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c1,fixed_2rc_dual,15.0,0.8,1.0,False,300.0,21.43168745975895,41.73004435165151,0.9910925893016035,1.4758348470219538,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c1,related_2rc_dual,15.0,0.8,1.0,False,5.0,28.96351104494996,31.964741073761793,0.01396817126213573,0.01975397724046246,False,True,false_safe,True,True,true_feasible
t15_soc0.80_c1,related_2rc_dual,15.0,0.8,1.0,False,25.0,28.5484783160809,31.964741073761793,0.03097272372717594,0.041648897311517885,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c1,related_2rc_dual,15.0,0.8,1.0,False,300.0,32.338099214799456,61.962965503432166,0.7594276913002046,1.5867069393185425,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c1,related_2rc_single,15.0,0.8,1.0,False,5.0,28.96351104494996,31.964741073761793,0.014372574424148478,0.020325889676847453,False,True,false_safe,True,True,true_feasible
t15_soc0.80_c1,related_2rc_single,15.0,0.8,1.0,False,25.0,28.5484783160809,31.964741073761793,0.03291383727568673,0.045018797922116605,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c1,related_2rc_single,15.0,0.8,1.0,False,300.0,32.338099214799456,61.962965503432166,0.7431834121784504,1.5631631266606227,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c2,fixed_2rc_dual,15.0,0.8,2.0,False,5.0,6.793055018651112,7.941646952033921,0.0692908036715782,0.09799199430007732,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c2,fixed_2rc_dual,15.0,0.8,2.0,False,25.0,5.7825115319963185,8.013890384355626,0.25857039060345177,0.412185514200452,False,False,true_infeasible,True,True,true_feasible
