scenario_id,controller,step,failure_type,source,optimizer_success,prediction_feasible,slack_voltage_v,slack_temperature_c,slack_soc,slack_current_change_a,braking_distance_steps,braking_current_deficit_a,candidate_shifted_previous,candidate_projected_ann,candidate_conservative_slew_down,emergency_fallback
lhs_008,original_mpc,286,none,slsqp,True,True,5.994316154556145e-12,2.1665158556061215e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,286,none,slsqp,True,True,5.994316154556145e-12,2.1665158556061215e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,291,none,slsqp,True,True,2.070299487400007e-10,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,291,none,slsqp,True,True,2.070299487400007e-10,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,296,none,slsqp,True,True,6.3504757008558954e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,296,none,slsqp,True,True,6.3504757008558954e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,301,none,slsqp,True,True,4.120259688988881e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,301,none,slsqp,True,True,4.120259688988881e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,306,none,slsqp,True,True,1.0865974786611332e-11,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,306,none,slsqp,True,True,1.0865974786611332e-11,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,311,none,slsqp,True,True,1.7008616737257398e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,311,none,slsqp,True,True,1.7008616737257398e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,316,none,slsqp,True,True,8.962608433193964e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,316,none,slsqp,True,True,8.962608433193964e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,321,none,slsqp,True,True,2.1653789872289053e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,321,none,slsqp,True,True,2.1653789872289053e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,326,none,slsqp,True,True,1.2785328351583303e-11,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,326,none,slsqp,True,True,1.2785328351583303e-11,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,331,none,slsqp,True,True,3.282707439211663e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,331,none,slsqp,True,True,3.282707439211663e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,336,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,336,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,341,none,slsqp,True,True,1.2007284055925993e-11,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,341,none,slsqp,True,True,1.2007284055925993e-11,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,346,none,slsqp,True,True,5.3583804060508555e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,346,none,slsqp,True,True,5.3583804060508555e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,351,none,slsqp,True,True,3.2498448376827582e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,351,none,slsqp,True,True,3.2498448376827582e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,356,none,slsqp,True,True,1.0658141036401503e-14,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,356,none,slsqp,True,True,1.0658141036401503e-14,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,361,none,slsqp,True,True,7.44204697866735e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,361,none,slsqp,True,True,7.44204697866735e-12,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,366,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,366,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,371,none,slsqp,True,True,1.7763568394002505e-15,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,371,none,slsqp,True,True,1.7763568394002505e-15,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,376,none,slsqp,True,True,0.0,0.0,4.052037927415597e-09,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,376,none,slsqp,True,True,0.0,0.0,4.052037927415597e-09,0.0,0,0.0,0,0,0,0
