state_id,successful_feasible_count,feasible_count,fallback_count,optimizer_success_count,first_action_range_a,near_optimal_first_action_range_a,objective_range,near_optimal_solution_count,active_mode_count,status_count,near_optimal_multivalued,warm_start_sensitive
state_059,15,15,0,15,0.16653102662697794,0.16653102662697794,4.345086749280025e-05,15,1,1,True,True
state_060,15,15,0,15,0.18854340414042436,0.18854340414042436,3.797097196978072e-05,15,1,1,True,True
state_061,15,15,0,15,0.28512194472840147,0.28512194472840147,5.2603338511536535e-05,15,1,1,True,True
state_062,15,15,0,15,0.18499542746836362,0.18499542746836362,2.8198918131439044e-05,15,1,1,True,True
state_063,15,15,0,15,0.16280878229439288,0.16280878229439288,1.9292138831894512e-05,15,1,1,True,True
state_064,15,15,0,15,1.509903313490213e-14,1.509903313490213e-14,4.121013940761031e-06,15,1,1,False,False
state_065,15,15,0,15,1.687538997430238e-14,1.687538997430238e-14,5.493895682384675e-06,15,1,1,False,False
state_066,15,15,0,15,1.1102230246251565e-14,1.1102230246251565e-14,3.478452476723959e-05,15,1,1,False,False
state_067,15,15,0,15,1.5987211554602254e-14,1.5987211554602254e-14,6.152248177571096e-06,15,1,1,False,False
state_068,15,15,0,15,2.4868995751603507e-14,2.4868995751603507e-14,2.3690410513310667e-06,15,1,1,False,False
state_069,15,15,0,15,7.993605777301127e-15,7.993605777301127e-15,8.123386296521318e-06,15,1,1,False,False
state_070,15,15,0,15,1.2434497875801753e-14,1.2434497875801753e-14,1.1058384742579364e-05,15,1,1,False,False
state_071,15,15,0,15,9.769962616701378e-15,9.769962616701378e-15,2.5702518611669944e-05,15,1,1,False,False
state_072,15,15,0,15,1.1546319456101628e-14,1.1546319456101628e-14,2.0688976172245077e-06,15,1,1,False,False
state_073,15,15,0,15,1.865174681370263e-14,1.865174681370263e-14,5.647118967777587e-06,15,1,1,False,False
state_074,15,15,0,15,4.440892098500626e-15,4.440892098500626e-15,5.269233425686526e-05,15,1,1,False,False
state_075,15,15,0,15,2.7555909465348805e-07,2.7555909465348805e-07,1.5248963647351843e-08,15,1,1,False,False
state_076,15,15,0,15,1.6362403876257758e-07,1.6362403876257758e-07,1.2810246752259502e-09,15,1,1,False,False
state_077,15,15,0,15,9.006029637603774e-07,9.006029637603774e-07,2.0855410898246163e-08,15,1,1,False,False
state_078,15,15,0,15,4.3019805318067483e-07,4.3019805318067483e-07,7.466667506506042e-09,15,1,1,False,False
state_079,15,15,0,15,2.691424958456423e-07,2.691424958456423e-07,3.837273637730121e-08,15,1,1,False,False
state_080,15,15,0,15,1.2463893055425501e-06,1.2463893055425501e-06,4.037270573409302e-08,15,1,1,False,False
state_081,15,15,0,15,1.745875719549872e-07,1.745875719549872e-07,4.476206169612418e-08,15,1,1,False,False
state_082,15,15,0,15,1.4310445006771033e-07,1.4310445006771033e-07,2.5761358407594415e-08,15,1,1,False,False
state_083,15,15,0,15,1.1053841397767883e-07,1.1053841397767883e-07,7.520695288754098e-09,15,1,1,False,False
state_084,15,15,0,15,3.852829846273664e-06,3.852829846273664e-06,3.996934200278801e-08,15,1,1,False,False
state_085,15,15,0,15,3.965101278424754e-07,3.965101278424754e-07,3.5094854300421474e-08,15,1,1,False,False
state_086,15,15,0,15,3.916375183266041e-06,3.916375183266041e-06,4.5004797097347726e-08,15,1,1,False,False
state_087,15,15,0,15,4.271959857859997e-06,4.271959857859997e-06,4.8350544901154535e-08,15,1,1,False,False
state_088,15,15,0,15,2.5669147030171757e-07,2.5669147030171757e-07,4.49948981962045e-08,15,1,1,False,False
state_089,15,15,0,15,1.1151899936834297e-07,1.1151899936834297e-07,8.6332509960374e-09,15,1,1,False,False
state_090,15,15,0,15,2.0550396273577576e-06,2.0550396273577576e-06,3.403547479963187e-08,15,1,1,False,False
state_091,15,15,0,15,5.329070518200751e-15,5.329070518200751e-15,1.452913689359292e-08,15,1,1,False,False
state_092,15,15,0,15,3.9968028886505635e-15,3.9968028886505635e-15,1.3264714604499517e-08,15,1,1,False,False
state_093,15,15,0,15,0.23599740496831068,0.23599740496831068,3.260336651778051e-05,15,1,1,True,True
state_094,15,15,0,15,0.3145533982221629,0.3145533982221629,2.1606579017618976e-05,15,1,1,True,True
state_095,15,15,0,15,0.16741029630968995,0.16741029630968995,1.7249894663118326e-05,15,1,1,True,True
state_096,15,15,0,15,0.143837485380498,0.143837485380498,2.9739029531183903e-05,15,1,1,True,True
state_097,15,15,0,15,0.14039567755754057,0.14039567755754057,1.052431205628146e-05,15,1,1,True,True
state_098,15,15,0,15,0.12748109267843244,0.12748109267843244,5.96388319570873e-06,15,1,1,True,True
state_099,15,15,0,15,0.8632360106229777,1.7763568394002505e-15,0.0008151780708535172,14,2,1,False,True
