mode_group,sample_count,neighbor_count,feature_set,features,auditable,feature_count,effective_variable_feature_count,mean_conditional_variance_a2,median_conditional_variance_a2,p95_conditional_variance_a2,mean_local_standard_deviation_a,p95_local_standard_deviation_a,nearest_neighbor_label_difference_mean_a,nearest_neighbor_label_difference_p95_a,knn_leave_one_out_rmse_a,knn_leave_one_out_nrmse_percent_of_10a,mean_neighbor_distance,locally_sufficient
temperature,1144,10,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.07161234446119377,0.026384197797049994,0.34043445684173845,0.205764251295819,0.5834671723134468,0.15364309020219014,0.36512754622967414,0.21001136082501562,2.1001136082501564,0.9657256641775459,True
temperature,1144,25,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.1071687030140287,0.08377330176944459,0.27514656732137815,0.3111044200437282,0.524544151813974,0.13952717482813776,0.42812725655955075,0.23333031895015988,2.3333031895015988,0.8811760677529399,False
temperature,1144,25,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.10811798488219113,0.053898795391769325,0.650656724805022,0.2802754515071206,0.8066270201293173,0.17247092887330537,0.5547427314155673,0.2573867441292843,2.573867441292843,1.1393201637761539,False
temperature,1144,25,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.08768776447200657,0.04125192571162696,0.3643296475844817,0.2445893984572832,0.603591965380117,0.15364309020219014,0.36512754622967414,0.2318334112398332,2.318334112398332,1.2767719899378092,True
temperature,1144,50,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.14823319366116597,0.12259808534395081,0.3360154927014637,0.37273414476615213,0.5796684312981885,0.13952717482813776,0.42812725655955075,0.26071141596312314,2.6071141596312315,1.070706275027582,False
temperature,1144,50,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.1364733488145517,0.0804700377367519,0.7225541491501555,0.3275698919568678,0.8500238186398891,0.17247092887330537,0.5547427314155673,0.28049513137808474,2.8049513137808475,1.3945202317732348,False
temperature,1144,50,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.10542817430834918,0.05896300700315684,0.22159568447648775,0.27990602784220564,0.47071390120753553,0.15364309020219014,0.36512754622967414,0.24734312761393862,2.473431276139386,1.5710038938189368,False
slew,0,5,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
slew,0,5,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
slew,0,5,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
slew,0,10,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
slew,0,10,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
slew,0,10,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
slew,0,25,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
slew,0,25,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
slew,0,25,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
slew,0,50,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
slew,0,50,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
slew,0,50,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
voltage+temperature,94,5,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.09283331702868976,0.05029165797564841,0.3043877398008475,0.2697882850471502,0.551311136766897,0.16327113312402883,0.4436654226972813,0.2682903029285051,2.682903029285051,0.7010401161661409,False
voltage+temperature,94,5,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.08364207277272667,0.04460624054941289,0.28290417785935124,0.25691937293607975,0.5312627061898259,0.20400253948183666,0.6972601819646522,0.2738636643674591,2.7386366436745915,1.0219495502676033,False
voltage+temperature,94,5,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.06443410653889316,0.04038655022298928,0.19032530871051545,0.23064698138297327,0.43574366084305494,0.16150878956275022,0.326941533983472,0.21274615208109027,2.1274615208109027,1.1624887609224903,True
voltage+temperature,94,10,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.17011223075752455,0.14540767159896745,0.32861820515375284,0.39684500865987105,0.5732522136338669,0.16327113312402883,0.4436654226972813,0.34566104758551663,3.4566104758551663,0.9701150003844916,False
voltage+temperature,94,10,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.17062278325309055,0.12737552596997942,0.37919696879568904,0.3860407018294512,0.6157597625371437,0.20400253948183666,0.6972601819646522,0.32090459799407234,3.2090459799407234,1.389282818434986,False
