initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,coverage_distance_standardized,assigned_split,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
phase6c_targeted_0095,targeted_boundary_sampling,0.15730000000000002,0.002109375,0.0237037037037037,25.768,4.198250728862973,,phase6c_train,True,True,True,Optimization terminated successfully,6.061477551942608,1.4677641000016592,-9.209344398186659e-11
phase6c_targeted_0096,targeted_boundary_sampling,0.1579,0.047109374999999995,0.0537037037037037,26.168,4.912536443148688,,phase6c_train,True,True,True,Optimization terminated successfully,6.151331782335227,1.3386580000005779,-1.321097897744039e-09
phase6c_targeted_0097,targeted_boundary_sampling,0.15850000000000003,0.024609375,0.08370370370370368,26.568,0.029154518950437316,,phase6c_train,True,True,True,Optimization terminated successfully,6.318409974800676,1.2035364000003028,-1.5688428334215132e-09
phase6c_targeted_0098,targeted_boundary_sampling,0.15910000000000002,0.069609375,0.007037037037037036,26.968,0.7434402332361516,,phase6c_train,True,True,True,Optimization terminated successfully,6.210353891750324,1.5971908999999869,-6.683507081106654e-10
phase6c_targeted_0099,targeted_boundary_sampling,0.1597,0.013359375,0.037037037037037035,25.064,1.4577259475218658,,phase6c_train,True,True,True,Optimization terminated successfully,6.017654624622751,1.6441532999997435,-5.800941949019034e-10
phase6c_targeted_0100,targeted_boundary_sampling,0.16030000000000003,0.058359375,0.06703703703703703,25.464,2.1720116618075798,,phase6c_train,True,True,True,Optimization terminated successfully,6.078897585390461,1.1831762000001618,-5.798057145511848e-09
phase6c_targeted_0101,targeted_boundary_sampling,0.16090000000000002,0.035859375,0.017037037037037035,25.864,2.886297376093294,,phase6c_train,True,True,True,Optimization terminated successfully,6.006889364268215,1.6003889000021445,-3.009049009961018e-09
phase6c_targeted_0102,targeted_boundary_sampling,0.1615,0.080859375,0.04703703703703703,26.264,3.600583090379008,,phase6c_train,True,True,True,Optimization terminated successfully,6.086678604959557,1.1843307000017376,-1.7463008816775982e-10
phase6c_targeted_0103,targeted_boundary_sampling,0.16210000000000002,0.007734375,0.07703703703703703,26.664,4.314868804664723,,phase6c_train,True,True,True,Optimization terminated successfully,6.1519434079765976,1.0666539000012563,-2.5731665687089844e-09
phase6c_targeted_0104,targeted_boundary_sampling,0.1627,0.052734375,0.027037037037037033,25.144,0.13119533527696792,,phase6c_train,True,True,True,Optimization terminated successfully,6.000624942158226,2.0586858999995457,-1.439772745470691e-10
phase6c_targeted_0105,targeted_boundary_sampling,0.1633,0.030234374999999997,0.05703703703703703,25.544,0.8454810495626821,,phase6c_train,True,True,True,Optimization terminated successfully,6.038754599480453,1.6693190000005416,-5.241815870249411e-10
phase6c_targeted_0106,targeted_boundary_sampling,0.16390000000000002,0.07523437499999999,0.08703703703703702,25.944,1.5597667638483963,,phase6c_train,True,True,True,Optimization terminated successfully,6.096798231836005,1.4958525999973062,-6.243539019124e-10
phase6c_targeted_0107,targeted_boundary_sampling,0.1645,0.018984374999999998,0.0014814814814814812,26.344,2.2740524781341107,,phase6c_validation,True,True,True,Optimization terminated successfully,5.963437217015824,1.3596378000002005,-4.2015102508230484e-10
phase6c_targeted_0108,targeted_boundary_sampling,0.16510000000000002,0.063984375,0.03148148148148148,26.744,2.9883381924198247,,phase6c_train,True,True,True,Optimization terminated successfully,6.038202643535755,1.249208199998975,-1.1170229186063807e-09
phase6c_targeted_0109,targeted_boundary_sampling,0.16570000000000001,0.041484375,0.06148148148148147,25.224,3.702623906705539,,phase6c_train,True,True,True,Optimization terminated successfully,5.900698111047901,1.314165600000706,-2.913935759352171e-10
phase6c_targeted_0110,targeted_boundary_sampling,0.1663,0.086484375,0.011481481481481481,25.624,4.4169096209912535,,phase6c_train,True,True,True,Optimization terminated successfully,5.842921065192473,0.9251528000022518,-3.7015936982243147e-09
phase6c_targeted_0111,targeted_boundary_sampling,0.16690000000000002,0.004921875,0.04148148148148147,26.024,0.23323615160349853,,phase6c_train,True,True,True,Optimization terminated successfully,6.006576090172915,1.2109137999977975,-2.4963568989733176e-09
phase6c_targeted_0112,targeted_boundary_sampling,0.16750000000000004,0.049921875,0.07148148148148148,26.424,0.9475218658892127,,phase6c_train,True,True,True,Optimization terminated successfully,6.057262594350283,1.2680867000017315,-9.359908403894224e-10
phase6c_targeted_0113,targeted_boundary_sampling,0.16810000000000003,0.027421875,0.02148148148148148,26.824,1.6618075801749268,,phase6c_validation,True,True,True,Optimization terminated successfully,5.985976848051111,1.2141155999997864,-4.128679620407638e-10
phase6c_targeted_0114,targeted_boundary_sampling,0.16870000000000002,0.072421875,0.05148148148148148,25.304,2.376093294460641,,phase6c_validation,True,True,True,Optimization terminated successfully,5.852443317507709,0.8815566000012041,-8.217504898766492e-09
phase6c_targeted_0115,targeted_boundary_sampling,0.1693,0.016171875,0.08148148148148147,25.704,3.0903790087463556,,phase6c_train,True,True,True,Optimization terminated successfully,5.909879943844253,1.2423744999978226,-2.4838016088324366e-09
phase6c_targeted_0116,targeted_boundary_sampling,0.16990000000000002,0.061171875,0.004814814814814814,26.104,3.8046647230320696,,phase6c_train,True,True,True,Optimization terminated successfully,5.806190984469468,1.4035756000012043,-5.191580498831172e-10
phase6c_targeted_0117,targeted_boundary_sampling,0.1705,0.038671875,0.03481481481481481,26.504,4.518950437317784,,phase6c_train,True,True,True,Optimization terminated successfully,5.879227155470596,1.4802010000021255,-1.0711829645515536e-08
