trajectory_id,sampling_method,coverage_distance_standardized,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_current_a,teacher_accepted,active_voltage_constraint,active_temperature_constraint,active_current_upper_constraint,active_current_change_constraint,next_soc,next_voltage_v,next_average_temperature_c,split
phase6c_targeted_0079,targeted_boundary_sampling,,3,0.1515046647230321,0.025660401197264714,0.08719890045926719,25.336689816753253,4.5655976676384835,4.5655976676384835,True,False,False,False,False,0.15277288629737612,3.62316833597467,25.409072631859164,phase6c_train
phase6c_targeted_0079,targeted_boundary_sampling,,4,0.15277288629737612,0.029680200581210327,0.08667197767659922,25.409072631859164,4.5655976676384835,4.5655976676384835,True,False,False,False,False,0.15404110787172015,3.6280677502983543,25.48204486376232,phase6c_train
phase6c_targeted_0079,targeted_boundary_sampling,,5,0.15404110787172015,0.03268818242792553,0.08616227242873206,25.48204486376232,4.5655976676384835,6.565597667638483,True,False,False,False,True,0.15586488500161974,3.681536528332649,25.611733527783812,phase6c_train
phase6c_targeted_0079,targeted_boundary_sampling,,6,0.15586488500161974,0.03952933333638228,0.08668655064956197,25.611733527783812,6.565597667638483,6.565597667638483,True,False,False,False,False,0.15768866213151933,3.6905464878307153,25.743875519486227,phase6c_train
phase6c_targeted_0079,targeted_boundary_sampling,,7,0.15768866213151933,0.04464850864285712,0.0871936977483198,25.743875519486227,6.565597667638483,6.565597667638483,True,False,False,False,False,0.15951243926141892,3.698213029414465,25.877685480579768,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,0,0.14830000000000002,0.048515625,0.0003703703703703703,25.528,3.279883381924198,5.279883381924203,True,False,False,False,True,0.14976663427275674,3.5677630790304993,25.590823039394152,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,1,0.14976663427275674,0.04842196518474868,0.0030439562782820983,25.590823039394152,5.279883381924203,5.279883381924203,True,False,False,False,False,0.15123326854551347,3.5731028902152824,25.654279796728936,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,2,0.15123326854551347,0.04835188033793572,0.005630181077647022,25.654279796728936,5.279883381924203,5.279883381924203,True,False,False,False,False,0.1526999028182702,3.578352325431829,25.718339394800275,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,3,0.1526999028182702,0.04829943644041557,0.008131899347876238,25.718339394800275,5.279883381924203,5.279883381924203,True,False,False,False,False,0.15416653709102693,3.5835094187827963,25.782970447939455,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,4,0.15416653709102693,0.04826019311590002,0.01055187239319524,25.782970447939455,5.279883381924203,5.279883381924203,True,False,False,False,False,0.15563317136378366,3.588573231823784,25.848141297760332,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,5,0.15563317136378366,0.04823082766840555,0.012892771290469536,25.848141297760332,5.279883381924203,7.279883381924203,True,False,False,False,True,0.15765536119209594,3.6428600617587157,25.966252943970314,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,6,0.15765536119209594,0.05279915731129343,0.016174508365163466,25.966252943970314,7.279883381924203,7.279883381924203,True,False,False,False,False,0.15967755102040823,3.6531607323055444,26.087656047498577,phase6c_train
phase6c_targeted_0080,targeted_boundary_sampling,,7,0.15967755102040823,0.05621759970682657,0.019349012607743788,26.087656047498577,7.279883381924203,7.279883381924203,True,False,False,False,False,0.16169974084872052,3.662449388435177,26.211706817213525,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,0,0.1489,0.026015625,0.030370370370370367,25.928000000000004,3.994169096209912,5.994169096209915,True,False,False,False,True,0.15056504697116943,3.598732592940296,26.00925705016514,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,1,0.15056504697116943,0.033224799801581266,0.032427018943186246,26.00925705016514,5.994169096209915,5.994169096209915,True,False,False,False,False,0.15223009394233886,3.609305972672684,26.093836174800792,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,2,0.15223009394233886,0.03861936427152958,0.034416465224622335,26.093836174800792,5.994169096209915,5.994169096209915,True,False,False,False,False,0.15389514091350828,3.618425935333683,26.180953139300417,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,3,0.15389514091350828,0.04265607119311035,0.0363409050920037,26.180953139300417,5.994169096209915,5.994169096209915,True,False,False,False,False,0.1555601878846777,3.626435969597018,26.270014355714352,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,4,0.1555601878846777,0.04567670480709591,0.03820246267097661,26.270014355714352,5.994169096209915,5.994169096209915,True,False,False,False,False,0.15722523485584713,3.6335934647422623,26.36056889349375,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,5,0.15722523485584713,0.04793701936725388,0.04000319268003993,26.36056889349375,5.994169096209915,7.994169096209916,True,False,False,False,True,0.15944583738257212,3.68939634526808,26.513775617507193,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,6,0.15944583738257212,0.05421869717505567,0.04276241122619038,26.513775617507193,7.994169096209916,7.994169096209916,True,False,False,False,False,0.1616664399092971,3.7007883804942088,26.671051708591225,phase6c_train
phase6c_targeted_0081,targeted_boundary_sampling,,7,0.1616664399092971,0.05891922349690287,0.04543147056324219,26.671051708591225,7.994169096209916,7.994169096209916,True,False,False,False,False,0.1638870424360221,3.710851466633678,26.831465574597466,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,0,0.14950000000000002,0.071015625,0.060370370370370366,26.328,4.708454810495627,6.708454810495642,True,False,False,False,True,0.15136345966958215,3.6802048567076873,26.46103791817193,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,1,0.15136345966958215,0.06853731295216814,0.06181008160809041,26.46103791817193,6.708454810495642,6.708454810495642,True,False,False,False,False,0.15322691933916427,3.6832940692853864,26.592836765828938,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,2,0.15322691933916427,0.06668281302857824,0.06320274937159766,26.592836765828938,6.708454810495642,6.708454810495642,True,False,False,False,False,0.1550903790087464,3.6867659855981456,26.72366165625757,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,3,0.1550903790087464,0.06529510643626124,0.06454991083613118,26.72366165625757,6.708454810495642,6.708454810495642,True,False,False,False,False,0.15695383867832852,3.6905040084418776,26.85370647340254,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,4,0.15695383867832852,0.06425669734178564,0.06585305294875798,26.85370647340254,6.708454810495642,6.708454810495642,True,False,False,False,False,0.15881729834791064,3.6944210667215733,26.98311156307028,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,5,0.15881729834791064,0.06347966460773394,0.06711361406961033,26.98311156307028,6.708454810495642,8.175264354496669,True,False,False,False,False,0.1610882051130486,3.734604476179644,27.163929915553094,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,6,0.1610882051130486,0.06626476812616565,0.06907909915641866,27.163929915553094,8.175264354496669,8.175264354496669,True,False,False,False,False,0.16335911187818658,3.7426584910858924,27.34633971903541,phase6c_train
phase6c_targeted_0082,targeted_boundary_sampling,,7,0.16335911187818658,0.06834883750985771,0.07098036077634393,27.34633971903541,8.175264354496669,8.175264354496669,True,False,False,False,False,0.16563001864332455,3.750063752060061,27.5299051105252,phase6c_train
phase6c_targeted_0083,targeted_boundary_sampling,,0,0.1501,0.014765625,0.010370370370370368,26.728,0.5247813411078717,2.524781341107872,True,False,False,False,True,0.15080132815030775,3.487654609018478,26.732586225198414,phase6c_validation
phase6c_targeted_0083,targeted_boundary_sampling,,1,0.15080132815030775,0.016843748566690374,0.011315778009447258,26.732586225198414,2.524781341107872,2.524781341107872,True,False,False,False,False,0.1515026563006155,3.4914694383832967,26.737677197240902,phase6c_validation
phase6c_targeted_0083,targeted_boundary_sampling,,2,0.1515026563006155,0.018398790837904445,0.012230293856667388,26.737677197240902,2.524781341107872,2.524781341107872,True,False,False,False,False,0.15220398445092323,3.494857580020437,26.7431746901104,phase6c_validation
phase6c_targeted_0083,targeted_boundary_sampling,,3,0.15220398445092323,0.01956241580420699,0.013114927320845196,26.7431746901104,2.524781341107872,2.524781341107872,True,False,False,False,False,0.15290531260123097,3.497918502042224,26.749003870875985,phase6c_validation
phase6c_targeted_0083,targeted_boundary_sampling,,4,0.15290531260123097,0.020433146515048354,0.013970654827724428,26.749003870875985,2.524781341107872,2.524781341107872,True,False,False,False,False,0.1536066407515387,3.5007268415699997,26.75510731499834,phase6c_validation
phase6c_targeted_0083,targeted_boundary_sampling,,5,0.1536066407515387,0.021084706934219682,0.014798420897720805,26.75510731499834,2.524781341107872,4.52478134110787,True,False,False,False,True,0.154863524457402,3.5526727565909573,26.791209719468668,phase6c_validation
phase6c_targeted_0083,targeted_boundary_sampling,,6,0.154863524457402,0.026162567638301742,0.016616467716171614,26.791209719468668,4.52478134110787,4.52478134110787,True,False,False,False,False,0.1561204081632653,3.560581380722165,26.829250452877055,phase6c_validation
phase6c_targeted_0083,targeted_boundary_sampling,,7,0.1561204081632653,0.029962287813151637,0.018375108706300297,26.829250452877055,4.52478134110787,4.52478134110787,True,False,False,False,False,0.1573772918691286,3.5674581498955087,26.868807398517898,phase6c_validation
phase6c_targeted_0084,targeted_boundary_sampling,,0,0.1507,0.059765624999999996,0.04037037037037036,25.208,1.2390670553935859,3.2390670553935785,True,False,False,False,True,0.15159974084872044,3.5691248134493656,25.24797269623051,phase6c_train
phase6c_targeted_0084,targeted_boundary_sampling,,1,0.15159974084872044,0.05215626171727719,0.0406988406743514,25.24797269623051,3.2390670553935785,3.2390670553935785,True,False,False,False,False,0.15249948169744088,3.56546553517345,25.286111187421486,phase6c_train
