time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
1050.0,3.9490096792081286,3.951254880514195,3.951254880514195,True,False,False,0.00010530000000000001,0.3778439736779271,3.826447010733054,33.49920543906205,chen2020_dfn
1055.0,3.9500260090975257,3.9524519712708415,3.9524519712708415,True,False,False,9.21e-05,0.37894120312489865,3.8275216896873547,33.49918057270014,chen2020_dfn
1060.0,3.9510220531413913,3.9536265568007187,3.9536265568007187,True,False,False,0.0001117,0.3800387092507712,3.82859804423211,33.49915604515803,chen2020_dfn
1065.0,3.9519988292446646,3.954779714317395,3.954779714317395,True,False,False,9.2e-05,0.3811364867033392,3.829676038830382,33.49913184434689,chen2020_dfn
1070.0,3.9529572049761357,3.9559123891313517,3.9559123891313517,True,False,False,9.470000000000001e-05,0.3822345303713881,3.8307556406761694,33.499107960057984,chen2020_dfn
1075.0,3.953897923214864,3.9570254095855013,3.9570254095855013,True,False,False,9.240000000000001e-05,0.3833328353500589,3.831836818425762,33.499084383697436,chen2020_dfn
1080.0,3.9548216252285266,3.9581195007901537,3.9581195007901537,True,False,False,9.360000000000001e-05,0.3844313969126224,3.8329195412239523,33.49906110806643,chen2020_dfn
1085.0,3.9557288670125104,3.959195299444145,3.959195299444145,True,False,False,9.83e-05,0.3855302104867926,3.8340037778706235,33.49903812713006,chen2020_dfn
1090.0,3.9566201355274524,3.960253364634479,3.960253364634479,True,False,False,0.0001078,0.38662927163555016,3.8350894962082656,33.499015435841045,chen2020_dfn
1095.0,3.957495860175459,3.9612941903277012,3.9612941903277012,True,False,False,9.16e-05,0.3877285760411545,3.8361766625995783,33.49899302997301,chen2020_dfn
1100.0,3.958356422740854,3.9623182144833193,3.9623182144833193,True,False,False,9.06e-05,0.38882811949191587,3.8372652415209405,33.49897090597602,chen2020_dfn
1105.0,3.9592021659889314,3.9633258275187364,3.9633258275187364,True,False,False,9.95e-05,0.3899278978713573,3.838355195251619,33.498949060861264,chen2020_dfn
1110.0,3.960033399693805,3.9643173800513987,3.9643173800513987,True,False,False,8.99e-05,0.3910279071490499,3.83944648361407,33.498927492091354,chen2020_dfn
1115.0,3.960850406496503,3.9652931885122564,3.9652931885122564,True,False,False,9.020000000000001e-05,0.3921281433730768,3.840539063790164,33.49890619749607,chen2020_dfn
1120.0,3.961653446911372,3.966253540832799,3.966253540832799,True,False,False,0.0001023,0.3932286026638854,3.8416328901950196,33.49888517521396,chen2020_dfn
1125.0,3.962442761117861,3.9671987014598056,3.9671987014598056,True,False,False,9.38e-05,0.3943292812086404,3.8427279143401294,33.49886442360889,chen2020_dfn
1130.0,3.963218574258936,3.968128913296416,3.968128913296416,True,False,False,9.32e-05,0.3954301752570456,3.843824084816565,33.49884394124672,chen2020_dfn
1135.0,3.9639810970037694,3.969044403109573,3.969044403109573,True,False,False,9.44e-05,0.3965312811173244,3.8449213472285626,33.498823726843625,chen2020_dfn
1140.0,3.9647305279705565,3.9699453823296365,3.9699453823296365,True,False,False,0.0001459,0.39763259515287186,3.8460196441947985,33.498803779232276,chen2020_dfn
1145.0,3.965467055741137,3.9708320496381733,3.9708320496381733,True,False,False,9.28e-05,0.39873411377946666,3.8471189153767478,33.49878409734589,chen2020_dfn
1150.0,3.9661908593137047,3.9717045931508363,3.9717045931508363,True,False,False,0.0001101,0.3998358334626093,3.84821909750017,33.49876468018988,chen2020_dfn
1155.0,3.9669021101211532,3.972563191044959,3.972563191044959,True,False,False,9.04e-05,0.4009377507154208,3.8493201244338167,33.49874552684179,chen2020_dfn
1160.0,3.9676009711579945,3.9734080136907846,3.9734080136907846,True,False,False,9.180000000000001e-05,0.40203986209629794,3.850421927230421,33.4987266364198,chen2020_dfn
1165.0,3.9682875992614024,3.974239222922351,3.974239222922351,True,False,False,9.38e-05,0.40314216420720395,3.851524434249059,33.498708008089295,chen2020_dfn
1170.0,3.9689621448966754,3.9750569743667294,3.9750569743667294,True,False,False,8.950000000000001e-05,0.40424465369189744,3.8526275712480835,33.49868964105934,chen2020_dfn
1175.0,3.9696247520368546,3.9758614173216515,3.9758614173216515,True,False,False,9.850000000000001e-05,0.4053473272341299,3.8537312614934933,33.4986715345716,chen2020_dfn
1180.0,3.970275558790477,3.9766526946869365,3.9766526946869365,True,False,False,9.38e-05,0.4064501815560161,3.854835425896198,33.49865368789807,chen2020_dfn
1185.0,3.9709146983956436,3.9774309436099013,3.9774309436099013,True,False,False,9.300000000000001e-05,0.4075532134166816,3.8559399831745464,33.49863610035976,chen2020_dfn
1190.0,3.9715422973282255,3.9781962964871567,3.9781962964871567,True,False,False,9.080000000000001e-05,0.4086564196103839,3.857044849968405,33.498618771303825,chen2020_dfn
1195.0,3.9721584776207557,3.978948879111819,3.978948879111819,True,False,False,9.21e-05,0.40975979696527853,3.8581499410520195,33.49860170013113,chen2020_dfn
1200.0,3.9727633548368484,3.9796888129334866,3.9796888129334866,True,False,False,9.43e-05,0.41086334234162214,3.8592551694705914,33.498584886282174,chen2020_dfn
1205.0,3.9733570394338384,3.9804162130583887,3.9804162130583887,True,False,False,8.960000000000001e-05,0.4119670526303537,3.8603604467586115,33.49856832925394,chen2020_dfn
1210.0,3.9739396358620778,3.981131189549631,3.981131189549631,True,False,False,9.070000000000001e-05,0.4130709247514265,3.8614656831187535,33.498552028602035,chen2020_dfn
1215.0,3.9745112428099656,3.98183384651107,3.98183384651107,True,False,False,9.360000000000001e-05,0.4141749556522071,3.8625707876416193,33.49853598395151,chen2020_dfn
1220.0,3.975071952471061,3.9825242822802798,3.9825242822802798,True,False,False,9.460000000000001e-05,0.4152791423056712,3.863675668510653,33.49852019499684,chen2020_dfn
1225.0,3.9756218512806885,3.983202588655732,3.983202588655732,True,False,False,9.570000000000001e-05,0.4163834817088048,3.8647802332486423,33.49850466152395,chen2020_dfn
1230.0,3.976161018728263,3.9838688515632708,3.9838688515632708,True,False,False,9.42e-05,0.4174879708806738,3.8658843889372356,33.49848938341222,chen2020_dfn
1235.0,3.976689527178827,3.98452314983096,3.98452314983096,True,False,False,0.0003479,0.41859260686044564,3.866988042462477,33.498474360642604,chen2020_dfn
1240.0,3.9772074423184502,3.985165554936461,3.985165554936461,True,False,False,9.77e-05,0.419697386705534,3.868091100786726,33.49845959331981,chen2020_dfn
1245.0,3.977714821552313,3.9857961313757113,3.9857961313757113,True,False,False,9.730000000000001e-05,0.4208023074892986,3.8691934711852074,33.49844508167206,chen2020_dfn
1250.0,3.9782117147922067,3.986414935010083,3.986414935010083,True,False,False,0.0001004,0.4219073662989631,3.8702950615416487,33.49843082607782,chen2020_dfn
1255.0,3.97869816305519,3.9870220137525076,3.9870220137525076,True,False,False,0.0001062,0.42301256023314504,3.871395780606499,33.49841682707171,chen2020_dfn
1260.0,3.9791741982813376,3.9876174061046292,3.9876174061046292,True,False,False,9.960000000000001e-05,0.42411788639933434,3.8724955382876938,33.49840308536045,chen2020_dfn
1265.0,3.979639843171542,3.988201140875897,3.988201140875897,True,False,False,0.00010630000000000001,0.4252233419113265,3.8735942459522192,33.498389601849,chen2020_dfn
1270.0,3.9800951098879076,3.988773236926096,3.988773236926096,True,False,False,9.89e-05,0.4263289238862953,3.874691816706429,33.498376377651255,chen2020_dfn
1275.0,3.9805399996021067,3.9893337017804873,3.9893337017804873,True,False,False,9.44e-05,0.42743462944174027,3.8757881657014055,33.49836341410975,chen2020_dfn
1280.0,3.9809745020489213,3.9898825310638006,3.9898825310638006,True,False,False,9.580000000000001e-05,0.42854045569230936,3.876883210442755,33.498350712822,chen2020_dfn
1285.0,3.9813985945045873,3.990419707939638,3.990419707939638,True,False,False,0.00010980000000000001,0.42964639974633845,3.8779768710913496,33.49833827566397,chen2020_dfn
1290.0,3.9818122406570065,3.9909452019761527,3.9909452019761527,True,False,False,0.00010070000000000001,0.43075245870207646,3.879069070760732,33.498326104810644,chen2020_dfn
1295.0,3.9822153900510413,3.9914589678894035,3.9914589678894035,True,False,False,9.580000000000001e-05,0.4318586296437573,3.880159735827842,33.498314202764504,chen2020_dfn
1300.0,3.9826079769308445,3.991960944846206,3.991960944846206,True,False,False,0.0001168,0.43296490963734924,3.8812487962236997,33.49830257238739,chen2020_dfn
1305.0,3.9829899190617435,3.9924510551644516,3.9924510551644516,True,False,False,0.0001071,0.43407129572597747,3.8823361857196828,33.49829121692875,chen2020_dfn
1310.0,3.9833611165198555,3.992929202980873,3.992929202980873,True,False,False,0.00010080000000000001,0.4351777849250107,3.883421842197988,33.49828014005834,chen2020_dfn
1315.0,3.9837214506682606,3.9933952728726174,3.9933952728726174,True,False,False,0.00011530000000000001,0.43628437421686306,3.884505707912937,33.498269345904646,chen2020_dfn
1320.0,3.9840707821455905,3.993849128653653,3.993849128653653,True,False,False,0.0001284,0.4373910605452368,3.885587729708211,33.4982588390821,chen2020_dfn
1325.0,3.984408950771841,3.9942906111802245,3.9942906111802245,True,False,False,9.44e-05,0.43849784080934007,3.886667859249089,33.49824862474907,chen2020_dfn
1330.0,3.984735771986087,3.9947195380393414,3.9947195380393414,True,False,False,9.400000000000001e-05,0.4396047118571139,3.887746053147709,33.49823870862332,chen2020_dfn
1335.0,3.9850510372933763,3.995135699798441,3.995135699798441,True,False,False,0.00011200000000000001,0.4407116704785843,3.8888222731270803,33.498229097041076,chen2020_dfn
1340.0,3.985354511781103,3.9955388601923665,3.9955388601923665,True,False,False,9.48e-05,0.4418187133985234,3.889896486082959,33.49821979700323,chen2020_dfn
1345.0,3.985645931893056,3.995928753422429,3.995928753422429,True,False,False,8.86e-05,0.44292583726849377,3.8909686640854755,33.49821081620394,chen2020_dfn
1350.0,3.9859250044752015,3.996305081680509,3.996305081680509,True,False,False,9.130000000000001e-05,0.44403303865862576,3.892038784343372,33.49820216307978,chen2020_dfn
1355.0,3.986191405319701,3.9966675139184273,3.9966675139184273,True,False,False,8.98e-05,0.44514031404899235,3.8931068290857755,33.49819384686026,chen2020_dfn
1360.0,3.9864447767549893,3.997015684127607,3.997015684127607,True,False,False,9.230000000000001e-05,0.4462476598203131,3.894172785335889,33.49818587759847,chen2020_dfn
1365.0,3.986684726725901,3.997349188663524,3.997349188663524,True,False,False,9.460000000000001e-05,0.44735507224440363,3.8952366446276088,33.49817826621154,chen2020_dfn
1370.0,3.9869108273594267,3.9976675850366816,3.9976675850366816,True,False,False,9.860000000000001e-05,0.44846254747422565,3.896298402613536,33.49817102451317,chen2020_dfn
1375.0,3.987122613617286,3.9979703902075734,3.9979703902075734,True,False,False,9.2e-05,0.4495700815335638,3.897358058574261,33.49816416523424,chen2020_dfn
1380.0,3.98731958297087,3.998257078973373,3.998257078973373,True,False,False,9.31e-05,0.4506776703066113,3.898415614844142,33.49815770204418,chen2020_dfn
1385.0,3.9875011943597687,3.998527083386309,3.998527083386309,True,False,False,0.00010350000000000001,0.4517853095272668,3.8994710761257254,33.49815164954555,chen2020_dfn
1390.0,3.987666869147546,3.998779791491312,3.998779791491312,True,False,False,0.00010190000000000001,0.4528929947686967,3.900524448746041,33.49814602327382,chen2020_dfn
1395.0,3.987815991526319,3.999014548078213,3.999014548078213,True,False,False,9.080000000000001e-05,0.4540007214330096,3.9015757398237927,33.498140839673624,chen2020_dfn
1400.0,3.987947909249759,3.999230654947166,3.999230654947166,True,False,False,9.570000000000001e-05,0.45510848474113463,3.9026249563708886,33.498136116039746,chen2020_dfn
1405.0,3.9880619371853188,3.9994273715506656,3.9994273715506656,True,False,False,8.950000000000001e-05,0.45621627972368606,3.9036721044048224,33.49813187046584,chen2020_dfn
1410.0,3.9881573591939103,3.999603918511126,3.999603918511126,True,False,False,9.06e-05,0.457324101212351,3.904717188009157,33.498128121740365,chen2020_dfn
