trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason,mean_solve_time_s,maximum_solve_time_s
phase6r_ic_0100,validation,True,8,,0.434510712500014,0.9543465000024298
phase6r_ic_0101,train,True,8,,0.3722322624994376,0.7651211999982479
phase6r_ic_0102,train,True,8,,0.2869016375002502,0.8491665000001376
phase6r_ic_0103,train,True,8,,0.3745508124998196,1.07494719999886
phase6r_ic_0104,train,True,8,,0.3077418375005436,0.8152609999997367
phase6r_ic_0105,train,True,8,,0.2911808750009186,0.6389380000000529
phase6r_ic_0106,train,True,8,,0.2131917375004377,0.686458500000299
phase6r_ic_0107,train,True,8,,0.3148297749999074,0.6841668999986723
phase6r_ic_0108,train,True,8,,0.2997728375007682,0.8458874999996624
phase6r_ic_0109,test,True,8,,0.5148536874999081,1.1316822999979197
phase6r_ic_0110,train,True,8,,0.3814267124998878,0.7696968999989622
phase6r_ic_0111,train,True,8,,0.4092172375003429,1.0297463000024436
phase6r_ic_0112,train,True,8,,0.3561772750003911,0.922250300001906
phase6r_ic_0113,train,True,8,,0.3107239624996509,0.7489089999980933
phase6r_ic_0114,test,True,8,,0.2782363000005716,0.7952183000015793
phase6r_ic_0115,train,True,8,,0.3071984749999501,0.691682699998637
phase6r_ic_0116,train,True,8,,0.2263221875009549,0.6149757000021054
phase6r_ic_0117,train,True,8,,0.296260650000022,0.5820558999985224
phase6r_ic_0118,test,True,8,,0.2549178374997609,0.7114634999998088
phase6r_ic_0119,train,True,8,,0.2801236124996649,0.6161902000021655
phase6r_ic_0120,train,True,8,,0.4842641250006636,1.28369770000063
phase6r_ic_0121,train,True,8,,0.356418450000092,0.843360599999869
phase6r_ic_0122,train,True,8,,0.3927425000006224,0.8102813000004971
phase6r_ic_0123,test,True,8,,0.5537432125011037,1.2181665000025532
phase6r_ic_0124,validation,True,8,,0.2703903500005253,0.5809315000005881
phase6r_ic_0125,test,True,8,,0.2906624999995983,0.5293739000007918
phase6r_ic_0126,train,True,8,,0.1967224250001891,0.4027533000007679
phase6r_ic_0127,validation,True,8,,0.2965888499998073,0.6642412000001059
phase6r_ic_0128,train,True,8,,0.2339703250004277,0.614440100001957
phase6r_ic_0129,train,True,8,,0.2403191624998726,0.3954000999983691
phase6r_ic_0130,train,True,8,,0.2157289249994392,0.4775994999981776
phase6r_ic_0131,validation,True,8,,0.4716771250004967,1.0655206000010369
phase6r_ic_0132,train,True,8,,0.395459437500449,0.8751842000019678
phase6r_ic_0133,train,True,8,,0.3578661500005182,0.9074290999997174
phase6r_ic_0134,train,True,8,,0.4527173750002475,1.0568719999973837
phase6r_ic_0135,train,True,8,,0.3532542375010052,0.9292449999993552
phase6r_ic_0136,train,True,8,,0.2548615874998177,0.7630241999977443
phase6r_ic_0137,train,True,8,,0.2954874125002789,0.8864322000008542
phase6r_ic_0138,validation,True,8,,0.1468527750002977,0.4083210000026156
phase6r_ic_0139,train,True,8,,0.3064179625012002,0.7978541000011319
phase6r_ic_0140,train,True,8,,0.2639171125006214,0.5208560000028228
phase6r_ic_0141,train,True,8,,0.2012747125004352,0.4033080999979574
phase6r_ic_0142,validation,True,8,,0.3461903749994235,0.88272280000092
phase6r_ic_0143,train,True,8,,0.4459051875001023,1.0731389000029594
phase6r_ic_0144,train,True,8,,0.4334609625007033,1.0245488000000478
phase6r_ic_0145,test,True,8,,0.3003522374997374,0.7809749000007287
phase6r_ic_0146,train,True,8,,0.2875345000002198,0.7920297000018763
phase6r_ic_0147,train,True,8,,0.3240942375000486,1.09935680000126
phase6r_ic_0148,train,True,8,,0.1733818499997141,0.6238479999992705
phase6r_ic_0149,validation,True,8,,0.3570116750006491,0.9073730999989492
phase6r_ic_0150,train,True,8,,0.2837085249998381,0.9884617999996408
phase6r_ic_0151,test,True,8,,0.2118729375006296,0.4213713999997708
phase6r_ic_0152,train,True,8,,0.2068201375004719,0.4215798999975959
phase6r_ic_0153,train,True,8,,0.4379116874997635,0.8634848000001512
phase6r_ic_0154,train,True,8,,0.5299452124995696,1.0491557999994257
phase6r_ic_0155,test,True,8,,0.4568912624999939,1.09397589999935
phase6r_ic_0156,test,True,8,,0.2987671125001725,0.5661086000000068
phase6r_ic_0157,train,True,8,,0.2578647875006936,0.82440200000201
phase6r_ic_0158,train,True,8,,0.216840024999783,0.7220597000014095
phase6r_ic_0159,train,True,8,,0.4456202250003116,0.7881039999992936
phase6r_ic_0160,validation,True,8,,0.4362568749993443,1.1842298000010487
phase6r_ic_0161,train,True,8,,0.2673026375005065,0.7572118999996746
phase6r_ic_0162,train,True,8,,0.2536893250007779,0.8489700000027369
phase6r_ic_0163,train,True,8,,0.3209771624992754,0.8485938000012538
phase6r_ic_0164,test,True,8,,0.6868326125004387,0.9002847000010661
phase6r_ic_0165,validation,True,8,,0.4345045999998547,1.075050999999803
phase6r_ic_0166,validation,True,8,,0.2688489249999293,0.7751921999988554
phase6r_ic_0167,train,True,8,,0.2849045500001921,0.7603252000008069
phase6r_ic_0168,train,True,8,,0.2784897749997981,0.8737375999990036
phase6r_ic_0169,test,True,8,,0.2227133999990656,0.6830478999982006
phase6r_ic_0170,test,True,8,,0.4623485250003796,0.6910452000010991
phase6r_ic_0171,train,True,8,,0.2600943625002401,0.7710404999997991
phase6r_ic_0172,train,True,8,,0.2139694624997901,0.791597899999033
phase6r_ic_0173,train,True,8,,0.4822241874999236,1.4451451999993878
phase6r_ic_0174,train,True,8,,0.1648659875008888,0.4158618000001297
phase6r_ic_0175,train,True,8,,0.3618020374992738,0.915955499996926
phase6r_ic_0176,train,True,8,,0.3058418125006028,0.7228248000028543
phase6r_ic_0177,test,True,8,,0.390385862500807,1.0667575000006764
phase6r_ic_0178,train,True,8,,0.2518397499993625,0.9835439000016776
phase6r_ic_0179,train,True,8,,0.2715698625002005,0.7245703000007779
phase6r_ic_0180,train,True,8,,0.241897925000103,0.6581321000012395
phase6r_ic_0181,train,True,8,,0.1719301125008314,0.4760736000025645
phase6r_ic_0182,train,True,8,,0.3183130250004069,0.766031600000133
phase6r_ic_0183,train,True,8,,0.241246499999761,0.7375028999995266
phase6r_ic_0184,train,True,8,,0.1512468250002712,0.3035133000012138
phase6r_ic_0185,train,True,8,,0.1655825875000118,0.4071661999987555
phase6r_ic_0186,train,True,8,,0.3473641249997854,0.916944100001274
phase6r_ic_0187,train,True,8,,0.3430677125002148,1.2226192999987688
phase6r_ic_0188,train,True,8,,0.5360958375003975,1.2677030999984709
phase6r_ic_0189,train,True,8,,0.2880597749999651,0.8354625000029046
phase6r_ic_0190,train,True,8,,0.3351455500001066,0.9823228999994172
phase6r_ic_0191,train,True,8,,0.227990150000096,0.6655914000002667
phase6r_ic_0192,train,True,8,,0.1744027375011683,0.5736199000020861
phase6r_ic_0193,train,True,8,,0.5128365249997842,1.4188036000014108
phase6r_ic_0194,test,True,8,,0.1584849000005306,0.3272292000001471
phase6r_ic_0195,test,True,8,,0.161947950000922,0.3993517000017164
phase6r_ic_0196,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.0926938999982667,0.0926938999982667
phase6r_ic_0197,train,True,8,,0.3458453625007678,0.914695200001006
phase6r_ic_0198,train,True,8,,0.5023684875009167,1.158574500001123
phase6r_ic_0199,train,True,8,,0.2106368374998055,0.6294296999985818
phase6r_ic_0200,train,True,8,,0.2184867375008252,0.6059343999986595
