temperature_c,controller_kind,seed,trajectory_id,maximum_voltage_v,maximum_average_temperature_c,maximum_voltage_residual_v,p95_voltage_residual_v,p99_voltage_residual_v,maximum_positive_residual_growth_v,voltage_intervention_fraction,maximum_current_correction_a,mean_active_current_correction_a,first_intervention_soc,minimum_voltage_slew_feasibility_margin_a,empty_interval_count,target_reached,discrete_arrival_time_s,continuous_arrival_time_s,cumulative_charge_ah,direction_reversals,mean_base_decision_time_ms,mean_safety_layer_time_ms
30.0,mpc,-1,phase7c_30c_001,4.187067424114797,37.64439117927253,0.0050890556527471,0.005029489599484175,0.005084190855286275,0.0025081175382322,0.0,0.0,0.0,,2.043158567945238,0,True,1130.0,1127.4429754028747,1.1359869180023705,0,39.56304601766061,0.14013185828895733
30.0,mpc,-1,phase7c_30c_002,4.18546066378053,33.387318651690066,0.0038548391310087,0.00378398444021464,0.0038505856416464067,0.0065999069173772,0.0,0.0,0.0,,2.1093624287052712,0,True,760.0,758.9349800526593,0.5109527306945908,0,45.58130723685994,0.14875657904519013
30.0,mpc,-1,phase7c_30c_003,4.18263362079752,42.263684287906415,0.0032853946627984,0.0031755903732185596,0.003278830047275604,0.0102985452397268,0.0,0.0,0.0,,2.0,0,True,1390.0,1388.9868416656893,1.7316546505672892,0,41.39562877711752,0.13439892100253217
30.0,mpc,-1,phase7c_30c_004,4.187326488475375,37.56452501471864,0.0051749235258178,0.0051165842762799,0.00517045047074846,0.0023859731741149,0.0,0.0,0.0,,2.031527406198634,0,True,1105.0,1102.7596693037926,1.1066828643743158,0,42.48484524857929,0.14934977382201736
30.0,mpc,-1,phase7c_30c_005,4.185377654036208,39.87110774603445,0.0045200055824334,0.00443387725039775,0.0045156307553577,0.0082169748589455,0.0,0.0,0.0,,2.112785607536927,0,True,1255.0,1251.3590525705833,1.4192142927115017,0,41.66698605556127,0.14612549803780409
30.0,mpc,-1,phase7c_30c_006,4.187520492260587,35.34393124821975,0.0050046026400183,0.00496898247728152,0.005001717527308006,0.0080898907697326,0.0,0.0,0.0,,2.023855088605528,0,True,950.0,945.4863145809813,0.7942334632356122,0,60.508985789362484,0.1829615788760508
30.0,mpc,-1,phase7c_30c_007,4.184172979134824,40.97586022229018,0.0039756787800531,0.00387203941968865,0.003969866112785231,0.0055689414747419,0.0,0.0,0.0,,2.087086940454256,0,True,1330.0,1329.0932309226057,1.5754021733519594,0,54.18065075201934,0.1797390974743799
30.0,mpc,-1,phase7c_30c_008,4.18721951931852,36.277737095338296,0.0050803406186057,0.00503406916588846,0.005078204212491104,0.0075512975873488,0.0,0.0,0.0,,2.0379974849993743,0,True,1045.0,1040.7037671486692,0.9504787148491509,0,56.8761933014188,0.1908181820473147
30.0,mpc,-1,phase7c_30c_009,4.18649525586407,38.68671058967124,0.0049255938350558,0.0048523228494775595,0.004922250760197572,0.0067217871199334,0.0,3.552713678800501e-15,0.0,,2.06635441542092,0,True,1185.0,1180.1284347300698,1.2629912419514442,0,41.88459873411781,0.1449160339427724
30.0,mpc,-1,phase7c_30c_010,4.1873152235099,34.352666183014264,0.0046356307103385,0.0046126313530271456,0.00463430121458931,0.003005768296199,0.0,0.0,0.0,,2.0300405684704392,0,True,840.0,838.066300910333,0.6379258756487436,0,44.689263095495384,0.14900476175425953
