time_s,charge_current_a,raw_requested_current_a,soc,terminal_voltage_v,average_temperature_c,core_temperature_c,surface_temperature_c,evaluation_time_s,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,source
430.0,4.642602898378819,4.642602898378819,0.24902712691100104,3.7592823228066856,33.096729354403195,33.09836769799888,33.09017598002043,0.10512110000126995,True,True,False,False,phase6r_rolling_mpc_reduced
435.0,4.613705403071268,4.613705403071268,0.2503087117451875,3.759296058302975,33.12349415386105,33.12513129286067,33.116945597862596,0.24264749999565538,True,True,False,False,phase6r_rolling_mpc_reduced
440.0,4.585424156344736,4.585424156344736,0.25158244067750546,3.7593031806996295,33.1492068094654,33.150842688360825,33.14266329388369,0.170473199999833,True,True,False,False,phase6r_rolling_mpc_reduced
445.0,4.557361038130992,4.557361038130992,0.25284837429920853,3.759296758982702,33.17388211418334,33.17551662710684,33.16734406248935,0.1728551999985939,True,True,False,False,phase6r_rolling_mpc_reduced
450.0,4.530384302609677,4.530384302609677,0.25410681438326677,3.7592993131569314,33.197556519619624,33.19918969009817,33.19102383770543,0.17159610000089742,True,True,False,False,phase6r_rolling_mpc_reduced
455.0,4.5021719926649935,4.5021719926649935,0.2553574177145626,3.7592575114759748,33.22020979811873,33.22184132480631,33.21368369136839,0.24043940000410657,True,True,False,False,phase6r_rolling_mpc_reduced
460.0,4.472563154947687,4.472563154947687,0.2565997963687147,3.759164512980918,33.24181726006969,33.24344681182286,33.235299053057034,0.24222329999611247,True,True,False,False,phase6r_rolling_mpc_reduced
465.0,4.444246849229955,4.444246849229955,0.2578343093823897,3.7590832345948924,33.2624192819553,33.264046903711794,33.255908794929326,0.1377074999982142,True,True,False,False,phase6r_rolling_mpc_reduced
470.0,4.41449674387726,4.41449674387726,0.25906055847791115,3.7589516702466224,33.28199111128321,33.28361647439915,33.27548965881945,0.3430219000001671,True,True,False,False,phase6r_rolling_mpc_reduced
475.0,4.388725053849698,4.388725053849698,0.2602796487706472,3.758898813020659,33.300637609650906,33.30226113911863,33.294143491780034,0.14021169999614358,True,True,False,False,phase6r_rolling_mpc_reduced
480.0,4.361916976155274,4.361916976155274,0.26149129237513474,3.7588132606866074,33.31834527985277,33.319966727512444,33.31185948921407,0.10474669999530306,True,True,False,False,phase6r_rolling_mpc_reduced
485.0,4.331790674462768,4.331790674462768,0.2626945675624855,3.758636014221195,33.335045610815406,33.33666440424463,33.32857043709852,0.30855910000536824,True,True,False,False,phase6r_rolling_mpc_reduced
