trajectory_id,split,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,state_previous_current_a,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_1_v,next_polarization_2_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,minimum_slew_margin_a,maximum_prediction_current_step_a,plan_block_00_a,plan_block_01_a,plan_block_02_a
global_135,train,6,0.18471458561103007,0.08984556618981288,0.07813773081664804,10.0,10.0,3.8376493954325546,0.18749236338880784,0.09018219432548111,0.0806711737382552,21.053863977730717,0.0030399999996006954,True,True,False,0.12489201589957322,2.0,0.0,10.0,10.0,10.0
global_135,train,7,0.18749236338880784,0.09018219432548111,0.0806711737382552,10.0,10.0,3.8457772945456163,0.1902701411665856,0.09043409030945176,0.08312183481192671,20.82778033676772,0.0030829999996058177,True,True,False,0.12217015738275627,2.0,0.0,10.0,10.0,10.0
global_136,train,0,0.5177617187500001,0.009259259259259259,0.09144000000000001,8.658892128279883,8.985251825225411,4.0592597368816445,0.520257622034785,0.027551142027555098,0.09302261673916591,3.259066112934033,0.01968979999946896,True,True,False,-7.194245199571014e-14,0.6303500435073586,1.3696499564926414,8.985251825225411,7.61560186873277,6.562785704882598
global_136,train,1,0.520257622034785,0.027551142027555098,0.09302261673916591,8.985251825225411,8.912909542685398,4.07982928292868,0.5227334302410864,0.04107276652245225,0.09451672254268617,3.198465863217358,0.01917909999974654,True,True,False,8.881784197001252e-16,0.648463819732978,1.351536180267022,8.912909542685398,7.561373362418376,6.5222259512787035
global_136,train,2,0.5227334302410864,0.04107276652245225,0.09451672254268617,8.912909542685398,8.842382952915047,4.09556078252632,0.5251896477280072,0.05102901442765744,0.09592613313932481,3.138723098751659,0.015279300001566298,True,True,False,-3.375077994860476e-14,0.6653787443076284,1.3346212556923716,8.842382952915047,7.5077616972226755,6.481963668323371
global_136,train,3,0.5251896477280072,0.05102901442765744,0.09592613313932481,8.842382952915047,8.773530883480396,4.107660372754738,0.5276267396400851,0.05832116449419633,0.09725446776712576,3.079834714307374,0.020804100000532344,True,True,False,-7.993605777301127e-15,0.6812321648368647,1.3187678351631353,8.773530883480396,7.45476304831726,6.442001149464707
global_136,train,4,0.5276267396400851,0.05832116449419633,0.09725446776712576,8.773530883480396,8.706236739542305,4.117030880603959,0.5300451387344024,0.06362336837823285,0.09850516809561541,3.021795570797185,0.019115099999908125,True,True,False,-3.552713678800501e-15,0.6961335318657875,1.3038664681342125,8.706236739542305,7.402370271408093,6.402338547865273
global_136,train,5,0.5300451387344024,0.06362336837823285,0.09850516809561541,8.706236739542305,8.640402742680052,4.124348200908866,0.532445250607369,0.06743986364027794,0.09968151359920574,2.9645990702379614,0.018848899999284185,True,True,False,-1.509903313490213e-14,0.7101711583134156,1.2898288416865844,8.640402742680052,7.350573900993468,6.362974470487628
global_136,train,6,0.532445250607369,0.06743986364027794,0.09968151359920574,8.640402742680052,8.575945603779589,4.130118437065599,0.53482745771953,0.07014777581674443,0.1007866342272147,2.908237580683016,0.021803399999043904,True,True,False,1.7763568394002505e-15,0.7234172869666571,1.276582713033343,8.575945603779589,7.299362890746246,6.3239064203991315
global_136,train,7,0.53482745771953,0.07014777581674443,0.1007866342272147,8.575945603779589,8.512793269455663,4.134720649948973,0.537192122516601,0.07202913938026705,0.1018235210049068,2.8527027499214412,0.022499900002003415,True,True,False,-2.6645352591003757e-15,0.7359318917859756,1.2640681082140244,8.512793269455663,7.248725161241639,6.285131125607498
global_137,train,0,0.34301171875,0.03925925925925925,0.12144,0.29154518950437314,2.2915451895043732,3.8278501551617325,0.3436482590804179,0.03463681534735174,0.11863749842866285,13.992282982971956,0.004034800000226824,True,True,False,0.0,0.0,2.0,2.2915451895043732,4.291545189504373,6.291545189504373
global_137,train,1,0.3436482590804179,0.03463681534735174,0.11863749842866285,2.2915451895043732,4.291545189504373,3.863651794078093,0.3448403549663913,0.03576818326108684,0.11694389889433868,12.636742236479924,0.0030818999985058326,True,True,False,0.0,0.0,2.0,4.291545189504373,6.291545189504373,8.291545189504372
global_137,train,2,0.3448403549663913,0.03576818326108684,0.11694389889433868,4.291545189504373,6.291545189504373,3.9067914836389397,0.3465880064079203,0.041205079851220794,0.11632296732243255,11.374231326900855,0.011404599998058984,True,True,False,-8.881784197001252e-16,-8.881784197001252e-16,2.000000000000001,6.291545189504373,8.291545189504374,10.0
