trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,split
global_128,0.47407421875,0.035925925925925924,0.024239999999999998,8.425655976676385,train
global_129,0.29932421875000004,0.06592592592592593,0.05424,9.854227405247812,train
global_130,0.6488242187500001,0.015925925925925927,0.08424000000000001,0.08746355685131196,train
global_131,0.21194921875,0.045925925925925926,0.11424000000000001,1.5160349854227404,validation
global_132,0.5614492187500001,0.07592592592592591,0.14424,2.944606413994169,train
global_133,0.38669921875,0.02592592592592592,0.00144,4.373177842565598,train
global_134,0.73619921875,0.05592592592592592,0.03144,5.801749271137026,train
global_135,0.16826171875,0.0859259259259259,0.06144,7.230320699708455,train
global_136,0.5177617187500001,0.009259259259259259,0.09144000000000001,8.658892128279883,train
global_137,0.34301171875,0.03925925925925925,0.12144,0.29154518950437314,train
global_138,0.6925117187500001,0.06925925925925926,0.0074399999999999996,1.7201166180758016,validation
global_139,0.25563671875000005,0.019259259259259257,0.03744,3.1486880466472305,train
global_140,0.6051367187500001,0.04925925925925925,0.06744,4.577259475218659,train
global_141,0.43038671875,0.07925925925925925,0.09744000000000001,6.005830903790087,train
global_142,0.11365234375000001,0.059259259259259255,0.013439999999999999,8.862973760932944,validation
global_143,0.46315234375000003,0.08925925925925925,0.04344,0.49562682215743437,train
global_144,0.28840234375,0.0007407407407407408,0.07344,1.9241982507288626,train
global_145,0.63790234375,0.03074074074074074,0.10343999999999999,3.3527696793002915,test
global_146,0.20102734375000003,0.060740740740740734,0.13344,4.78134110787172,train
global_147,0.55052734375,0.01074074074074074,0.01944,6.209912536443149,train
global_148,0.37577734375000005,0.04074074074074074,0.04944,7.6384839650145775,train
global_149,0.15733984375,0.020740740740740737,0.10944,0.6997084548104957,validation
global_150,0.50683984375,0.05074074074074074,0.13944,2.128279883381924,train
global_151,0.33208984375000006,0.08074074074074072,0.02544,3.556851311953353,test
global_152,0.68158984375,0.004074074074074074,0.055439999999999996,4.985422740524782,train
global_153,0.24471484375000002,0.03407407407407407,0.08544000000000002,6.413994169096209,train
global_154,0.59421484375,0.06407407407407407,0.11544,7.842565597667638,train
global_155,0.41946484375000004,0.014074074074074072,0.14544,9.271137026239066,test
global_156,0.7689648437500001,0.04407407407407407,0.00264,0.9037900874635568,test
global_157,0.13549609375000002,0.07407407407407406,0.03264,2.332361516034985,train
global_158,0.4849960937500001,0.024074074074074074,0.06264,3.760932944606414,train
global_159,0.31024609375,0.054074074074074066,0.09264,5.189504373177842,train
global_160,0.22287109375000003,0.007407407407407407,0.00864,8.0466472303207,validation
global_161,0.5723710937500001,0.0374074074074074,0.03864,9.475218658892127,train
global_162,0.39762109375,0.0674074074074074,0.06863999999999999,1.1078717201166182,train
global_163,0.74712109375,0.017407407407407406,0.09864,2.536443148688047,train
global_164,0.17918359375,0.0474074074074074,0.12864,3.9650145772594754,test
global_165,0.5286835937500001,0.0774074074074074,0.01464,5.393586005830903,validation
global_166,0.35393359375,0.027407407407407408,0.044640000000000006,6.822157434402332,validation
global_167,0.26655859375,0.08740740740740739,0.10464,9.67930029154519,train
global_168,0.61605859375,0.0018518518518518517,0.13464,1.3119533527696792,train
global_169,0.4413085937500001,0.03185185185185185,0.02064,2.7405247813411076,test
global_170,0.79080859375,0.06185185185185184,0.05064,4.169096209912537,test
global_171,0.10819140625000001,0.01185185185185185,0.08064,5.597667638483964,train
global_172,0.45769140625000004,0.04185185185185185,0.11064,7.026239067055393,train
global_173,0.28294140625,0.07185185185185185,0.14064000000000002,8.454810495626822,train
global_174,0.19556640625000002,0.05185185185185185,0.056639999999999996,0.11661807580174927,train
