time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source,anchor_temperature_c
2740.0,3.4511370059729303,3.4511370059729303,3.4511370059729303,3.4511370059729303,False,False,False,0.00010190000000000001,0.7017593125114058,4.122024004677845,23.756172876140454,chen2020_dfn,15.0
2745.0,3.4492963800006198,3.4492963800006198,3.4492963800006198,3.4492963800006198,False,False,False,8.81e-05,0.7027174503947393,4.123039293024727,23.75232246979158,chen2020_dfn,15.0
2750.0,3.4474571758248915,3.4474571758248915,3.4474571758248915,3.4474571758248915,False,False,False,8.39e-05,0.703675077388024,4.124056326452361,23.748436910802184,chen2020_dfn,15.0
2755.0,3.445619453102868,3.445619453102868,3.445619453102868,3.445619453102868,False,False,False,8.88e-05,0.7046321939027749,4.125074989062,23.74451597514434,chen2020_dfn,15.0
2760.0,3.443783260905442,3.443783260905442,3.443783260905442,3.443783260905442,False,False,False,8.54e-05,0.7055888003641374,4.126095156081422,23.740559460654822,chen2020_dfn,15.0
2765.0,3.441948636819154,3.441948636819154,3.441948636819154,3.441948636819154,False,False,False,8.71e-05,0.7065448972076984,4.127116693684314,23.736567189081654,chen2020_dfn,15.0
2770.0,3.440115606063384,3.440115606063384,3.440115606063384,3.440115606063384,False,False,False,8.83e-05,0.7075004848760493,4.128139458860483,23.732539008126707,chen2020_dfn,15.0
2775.0,3.43828418063529,3.43828418063529,3.43828418063529,3.43828418063529,False,False,False,0.0001049,0.7084555638151147,4.12916329934791,23.72847479346177,chen2020_dfn,15.0
2780.0,3.4364543584951592,3.4364543584951592,3.4364543584951592,3.4364543584951592,False,False,False,8.460000000000001e-05,0.7094101344702523,4.130188053632,23.724374450693404,chen2020_dfn,15.0
2785.0,3.4346261228053194,3.4346261228053194,3.4346261228053194,3.4346261228053194,False,False,False,9.250000000000001e-05,0.7103641972821425,4.131213551017468,23.72023791725354,chen2020_dfn,15.0
2790.0,3.4327994412345215,3.4327994412345215,3.4327994412345215,3.4327994412345215,False,False,False,8.580000000000001e-05,0.7113177526824854,4.132239611771748,23.716065164184727,chen2020_dfn,15.0
2795.0,3.430974265343584,3.430974265343584,3.430974265343584,3.430974265343584,False,False,False,8.630000000000001e-05,0.7122708010895252,4.133266047352145,23.71185619779783,chen2020_dfn,15.0
2800.0,3.4291505300628584,3.4291505300628584,3.4291505300628584,3.4291505300628584,False,False,False,8.38e-05,0.7132233429034315,4.134292660706727,23.70761106117311,chen2020_dfn,15.0
2805.0,3.4273281532752327,3.4273281532752327,3.4273281532752327,3.4273281532752327,False,False,False,0.0001201,0.7141753785015635,4.135319246655641,23.703329835479167,chen2020_dfn,15.0
2810.0,3.425507035515942,3.425507035515942,3.425507035515942,3.425507035515942,False,False,False,8.78e-05,0.7151269082336512,4.136345592354598,23.699012641088927,chen2020_dfn,15.0
2815.0,3.423687059797468,3.423687059797468,3.423687059797468,3.423687059797468,False,False,False,8.99e-05,0.7160779324169283,4.137371477823036,23.694659638466078,chen2020_dfn,15.0
