scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller_declared_complete,true_target_acceptable,completion_success,physical_safe,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,material_intervention_fraction,mean_filter_correction_a
lhs_045,latin_hypercube,0.25520892632686043,25.01075792774888,0.9508274252908754,0.9513390313268044,0.8916072182659995,1.0808076256073265,0.9398909573141515,0.9626201515547174,0.0021835750071197103,0.0658028916050366,-0.0038960370823883667,0.002764354245669189,1.0,False,False,False,True,60.0,0.7525390633004423,-0.047460936699557754,4.122618025668685,28.49083783229401,8.166316008423868,2.0,0.07916666666666666,0.0320237277634262
lhs_046,latin_hypercube,0.24162071983732325,29.288897488813358,1.0686724103268337,1.0768776398334419,0.9634399491845081,0.932056728135679,1.0380079839239826,0.9304394254652341,-0.0007525622341855373,0.48461143751238756,-0.0029102922258109135,0.0025063516547040223,1.0,False,False,False,False,60.0,0.6852662657609466,-0.11473373423905342,4.154307853107407,33.54125459701627,8.07178570621918,5.895485270107888,0.48333333333333334,1.1927676354432604
lhs_047,latin_hypercube,0.16542984709253097,23.456117504292358,1.026673295959076,0.9085615168559308,1.172067064026022,1.1362632997409978,1.1734878134095592,0.9425174498497484,0.0017081478123918102,-0.26168387517340785,-0.0010757111414557482,0.001414091158561618,1.0,False,False,False,True,60.0,0.680755708520163,-0.11924429147983706,4.019015674168678,28.02259642006591,8.256504367588807,2.0,0.001388888888888889,0.0018462357727013644
lhs_048,latin_hypercube,0.17672457026869548,22.012961515747584,0.9489233319423271,0.8961058076171474,0.9756922843132603,1.0654725948316863,0.8383810738688594,1.0625866779260065,0.0034571060382745733,0.3007579615243344,-0.004034183551814351,0.0031838841825375516,1.0,False,False,False,True,60.0,0.764279150279397,-0.035720849720603076,4.117989452206806,26.670471233181807,8.367816199567544,2.0,0.001388888888888889,0.0007995707480735791
lhs_049,latin_hypercube,0.20677000071194618,17.832551146977043,1.01928047815018,1.1510218923644142,1.0448957272339503,1.1032804816532304,1.1341083458886676,1.0351492893162562,-0.0030586098938899875,-0.19088402960660422,0.0021329181358729077,0.0015835597129621381,1.0,True,True,True,True,55.916666666666664,0.8053963692896235,0.005396369289623504,4.15250257002546,27.287321776553647,8.77009491580938,2.0,0.12667660208643816,0.11237269847402867
lhs_050,latin_hypercube,0.11192280320335034,23.774355216511708,1.0887619461135942,1.125345745534724,1.178269005078783,1.0403169334126188,0.8165474521760127,1.0269427958527617,0.00259468581826521,0.45345295169650235,-0.0037196109038525444,0.004356174434865801,1.0,True,True,True,False,57.0,0.7989093651526096,-0.0010906348473904703,4.156427089156639,33.20268516852378,8.267023292549998,5.247534408142866,0.3435672514619883,0.4455417523215209
lhs_051,latin_hypercube,0.13036535521234605,29.504250750914704,1.0826321606787372,1.0930118166148708,0.9373383323228255,0.9706865760721461,1.1071931579352832,1.0190379287014117,-0.0022241860780670562,0.2399355194610988,-0.0016293773164663015,0.002146246060332607,1.0,False,False,False,False,60.0,0.5319579472861757,-0.2680420527138243,3.9899136096286467,33.70596675244198,9.014783013762766,6.613395724126316,0.5277777777777778,1.4161483253787357
lhs_052,latin_hypercube,0.24808905454975086,26.8153701954054,0.9762446424897923,0.9366714215504023,1.0719690805645925,0.993411907321083,0.8689494690186456,0.9493529615036902,-0.0004437904767089409,-0.28522024847173844,0.0043288980385975855,0.0017681205464985025,1.0,True,True,True,False,40.583333333333336,0.795934452490207,-0.004065547509793044,4.137965952461606,34.11560526779807,8.315072100252172,5.21090161659034,0.3347022587268994,0.44788892446290984
lhs_053,latin_hypercube,0.16123861897403471,18.97263696763891,1.0307859306288385,0.9941381460929557,1.0605294524294786,1.1217108484369351,0.8835144049903574,1.0396493465274423,0.0017498256621159307,-0.07543347791680555,-0.0020782352630871813,-0.002048048500246808,1.0,True,True,True,True,57.083333333333336,0.7941000503934765,-0.0058999496065235135,4.142672240774867,24.964219559980094,5.986696081947019,2.0,0.09927007299270073,0.06699758947474793
lhs_054,latin_hypercube,0.11463774781832174,20.03076791488779,0.9663056957865495,0.9411452328480172,0.9542700972100232,0.8917688368592104,1.0648491287470407,1.046733102403048,-0.004198726710983166,-0.4821853895772097,0.004776146072042005,0.001196655158318627,1.0,True,True,True,True,56.25,0.7988490072277541,-0.0011509927722459512,4.137779294944449,28.895486089983162,8.465889244963854,2.0,0.09185185185185185,0.0727419641004907
