seed,trajectory_id,mpc_steps,dnn_steps,signed_step_difference,discrete_arrival_time_difference_s,discrete_arrival_time_gap_fraction,mpc_cumulative_charge_ah,dnn_cumulative_charge_ah,cumulative_charge_error_ah,mpc_continuous_crossing_time_s,dnn_continuous_crossing_time_s,continuous_crossing_time_difference_s,continuous_crossing_time_gap_fraction
137,closed_02,208,208,0,0.0,0.0,1.4870899485474156,1.4872040995133817,0.00011415096596611995,1039.7199406117943,1035.5175536212205,-4.202386990573814,0.004041845141587874
137,closed_03,201,200,-1,-5.0,0.004975124378109453,1.3829798898145629,1.3829707710868433,-9.118727719581443e-06,1002.2612222344686,998.032623349555,-4.228598884913595,0.00421905865567286
137,closed_04,193,193,0,0.0,0.0,1.2787566432138195,1.278870759613684,0.00011411639986436128,964.7187546217601,960.5178064973265,-4.20094812443358,0.0043545832443992
137,closed_05,186,185,-1,-5.0,0.005376344086021506,1.1746466881989253,1.1746374544064189,-9.233792506391225e-06,927.2553537178187,923.0320078150048,-4.2233459028138896,0.004554674055944177
137,closed_06,178,178,0,0.0,0.0,1.070423325140364,1.0705379295576114,0.00011460441724731041,889.7181038677412,885.4984218663667,-4.219682001374508,0.004742717927207396
137,closed_07,171,170,-1,-5.0,0.005847953216374269,0.9663192860781668,0.9663193086852617,2.2607094973814412e-08,851.9910318192724,847.4680207825909,-4.52301103668151,0.005308754279987478
137,closed_08,163,162,-1,-5.0,0.006134969325153374,0.8621483154830204,0.8621442982426478,-4.0172403725780015e-06,812.1829199530239,807.7785118456034,-4.404408107420522,0.005422926288175662
137,closed_09,154,154,0,0.0,0.0,0.7579285011200816,0.7580445985737646,0.00011609745368301727,769.4979414153221,765.2409786604079,-4.256962754914184,0.005532130140705039
137,closed_10,145,144,-1,-5.0,0.006896551724137931,0.6537781021703063,0.6537662780253328,-1.1824144973471284e-05,723.7999386937719,719.4148382808629,-4.385100412908969,0.006058442642068576
137,closed_11,135,135,0,0.0,0.0,0.5495922466996305,0.5497103702533558,0.00011812355372531336,674.6222993533438,670.2755898721666,-4.346709481177186,0.006443174922239755
